Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Franciscan Children's,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$227.82,MA
Franciscan Children's,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$75.94,MA
Franciscan Children's,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$151.88,MA
Franciscan Children's,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$72.24,MA
Franciscan Children's,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$69.46,MA
Franciscan Children's,Psychology,HCPCS 90853,Group psychotherapy,$28.00,MA
Franciscan Children's,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$72.24,MA
Franciscan Children's,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$96.32,MA
Franciscan Children's,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$144.48,MA
Franciscan Children's,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$192.64,MA
Franciscan Children's,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$476.63,MA
Franciscan Children's,Speech,HCPCS 92507,Speech Therapy,$37.05,MA
Franciscan Children's,Speech,HCPCS 92610,Swallow Evaluation,$479.73,MA
Franciscan Children's,Speech,HCPCS 92526,Swallow Treatment,$239.86,MA
