Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Signature Healthcare Brockton,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,273.31",MA
Signature Healthcare Brockton,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,271.52",MA
Signature Healthcare Brockton,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,271.52",MA
Signature Healthcare Brockton,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,271.52",MA
Signature Healthcare Brockton,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,271.52",MA
Signature Healthcare Brockton,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,271.52",MA
Signature Healthcare Brockton,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$363.61,MA
Signature Healthcare Brockton,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$363.61,MA
Signature Healthcare Brockton,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$363.61,MA
Signature Healthcare Brockton,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$363.61,MA
Signature Healthcare Brockton,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$363.61,MA
Signature Healthcare Brockton,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$262.25,MA
Signature Healthcare Brockton,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$262.25,MA
Signature Healthcare Brockton,Speech,HCPCS 92610,Swallow Evaluation,$635.37,MA
Signature Healthcare Brockton,Blood,HCPCS 85018,"Blood count, hemoglobin",$12.28,MA
Signature Healthcare Brockton,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$10.69,MA
Signature Healthcare Brockton,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$61.07,MA
Signature Healthcare Brockton,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$61.07,MA
Signature Healthcare Brockton,Blood,HCPCS 85610,"Blood test, clotting time",$20.56,MA
Signature Healthcare Brockton,Blood,HCPCS 85730,Coagulation assessment blood test,$26.31,MA
Signature Healthcare Brockton,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$30.72,MA
Signature Healthcare Brockton,Blood,HCPCS 85027,"Complete blood count, automated",$30.72,MA
Signature Healthcare Brockton,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$30.37,MA
Signature Healthcare Brockton,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$527.13,MA
Signature Healthcare Brockton,Blood,HCPCS 85660,Red blood cell sickling measurement,$21.77,MA
Signature Healthcare Brockton,Blood,HCPCS 85041,"Red blood count, automated test",$39.29,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$460.52,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82040,Albumin (protein) level,$35.30,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$195.57,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$222.47,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82140,Ammonia level,$158.07,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82150,Amylase (enzyme) level,$25.53,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$317.50,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84439,Assay of free thyroxine,$37.52,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$213.88,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82248,Bilirubin level (Direct),$19.79,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82247,Bilirubin level (Total),$19.79,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82565,Blood creatinine level,$55.53,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$9.91,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84132,Blood potassium level,$18.18,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84295,Blood sodium level,$18.97,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$22.78,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$65.83,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82310,Calcium level,$36.93,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$19.20,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$212.52,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82465,Cholesterol level,$17.11,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82525,Copper level,$254.35,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82533,Cortisol Measurement,$283.58,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84681,C-peptide (protein) level,$408.20,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$29.04,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$65.15,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$303.42,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$687.34,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$55.45,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82746,Folic acid; serum,$81.18,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$115.36,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$123.36,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$42.27,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$186.30,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$162.39,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$156.61,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83718,HDL cholesterol level,$32.10,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$156.41,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$287.43,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$188.40,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83525,Insulin Measurement; Total,$189.51,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82330,Ionized Calcium,$36.93,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83550,Iron Binding Capacity,$105.77,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83540,Iron level,$27.48,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$79.12,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83721,LDL cholesterol level,$42.24,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$29.63,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$20.48,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$131.56,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83021,Liver function blood test panel,$239.66,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83735,Magnesium Level,$26.32,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82542,Mass spectrometry,$150.13,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$209.31,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$168.30,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83918,Organic acid level,$283.00,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83945,Oxalate level,$212.70,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83970,Parathormone,$159.46,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84157,Prealbumin (protein) level,$99.68,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$188.40,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$195.57,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$99.68,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82270,Stool analysis for blood,$32.28,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84403,Testosterone (hormone) level,$211.66,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84402,Testosterone Level; Free,$211.66,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$9.70,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$233.97,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84155,"Total protein level, blood",$99.68,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$99.68,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84166,Troponin (protein) analysis,$99.68,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84550,"Uric acid level, blood",$59.05,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82340,Urine calcium level,$36.93,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82436,Urine chloride level,$22.03,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$35.30,MA
Signature Healthcare Brockton,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$56.64,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$302.10,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84591,Vitamin B-6 level,$41.80,MA
Signature Healthcare Brockton,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$116.45,MA
Signature Healthcare Brockton,Chemistry,HCPCS 84630,Zinc level,$177.44,MA
Signature Healthcare Brockton,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$86.93,MA
Signature Healthcare Brockton,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$126.77,MA
Signature Healthcare Brockton,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$217.48,MA
Signature Healthcare Brockton,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$88.48,MA
Signature Healthcare Brockton,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$141.08,MA
Signature Healthcare Brockton,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$88.48,MA
Signature Healthcare Brockton,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$88.48,MA
Signature Healthcare Brockton,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$179.52,MA
Signature Healthcare Brockton,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$245.15,MA
Signature Healthcare Brockton,Immunology,HCPCS 86140,Measurement C-reactive protein,$30.57,MA
Signature Healthcare Brockton,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$28.56,MA
Signature Healthcare Brockton,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,$287.87,MA
Signature Healthcare Brockton,Immunology,HCPCS 86161,Measurement of complement (immune system proteins),$230.26,MA
Signature Healthcare Brockton,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$88.48,MA
Signature Healthcare Brockton,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$288.21,MA
Signature Healthcare Brockton,Immunology,HCPCS 86431,Rheumatoid factor level,$101.42,MA
Signature Healthcare Brockton,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$77.63,MA
Signature Healthcare Brockton,Immunology,HCPCS 86580,Skin test for tuberculosis,$222.77,MA
Signature Healthcare Brockton,Immunology,HCPCS 86592,Syphilis Detection Test,$66.27,MA
Signature Healthcare Brockton,Immunology,HCPCS 86361,T cell count and ratio,$187.31,MA
Signature Healthcare Brockton,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$187.31,MA
Signature Healthcare Brockton,Immunology,HCPCS 86359,"T cells count, total",$187.31,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),$19.28,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$43.59,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$34.75,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87491,Chlamydia Test,$111.84,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87635,Covid-19 current infection test,$128.00,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$93.72,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),$117.79,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",$141.51,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$88.48,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",$975.04,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$111.85,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87517,Hepatitis B Detection,$240.26,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87624,HPV Detection,$111.97,MA
Signature Healthcare Brockton,Microbiology,HCPCS 86735,Mumps virus antibody test,$331.33,MA
Signature Healthcare Brockton,Microbiology,HCPCS 86747,Parvovirus antibody test,$89.50,MA
Signature Healthcare Brockton,Microbiology,HCPCS 86762,Rubella virus antibody test,$61.38,MA
Signature Healthcare Brockton,Microbiology,HCPCS 86765,Rubeola virus antibody test,$241.51,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87177,Smear for Parasites,$28.31,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,$28.36,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87045,Stool Culture,$55.04,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87880,Strep Test,$79.40,MA
Signature Healthcare Brockton,Microbiology,HCPCS 87804,Test for Influenza Virus,$163.84,MA
Signature Healthcare Brockton,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$66.27,MA
Signature Healthcare Brockton,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$55.59,MA
Signature Healthcare Brockton,Molecular pathology,HCPCS 81256,Gene analysis (hemochromatosis) common variants,$282.74,MA
Signature Healthcare Brockton,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$186.26,MA
Signature Healthcare Brockton,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$145.41,MA
Signature Healthcare Brockton,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$119.58,MA
Signature Healthcare Brockton,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$72.46,MA
Signature Healthcare Brockton,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$178.35,MA
Signature Healthcare Brockton,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$134.54,MA
Signature Healthcare Brockton,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,$124.55,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,$103.21,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,$110.12,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80177,Levetiracetam level,$169.13,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,$45.57,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80184,Phenobarbital level,$93.42,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,$167.50,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,$76.46,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,$58.29,MA
Signature Healthcare Brockton,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,$58.40,MA
Signature Healthcare Brockton,Transfusion,HCPCS 86900,"Blood Typing, ABO",$25.54,MA
Signature Healthcare Brockton,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",$25.54,MA
Signature Healthcare Brockton,Transfusion,HCPCS 86945,"Irradiation blood product, each unit",$148.93,MA
Signature Healthcare Brockton,Transfusion,HCPCS 86880,Red blood cell (RBC) antibody detection test,$46.79,MA
Signature Healthcare Brockton,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,$46.79,MA
Signature Healthcare Brockton,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$11.50,MA
Signature Healthcare Brockton,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$18.67,MA
Signature Healthcare Brockton,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$18.67,MA
Signature Healthcare Brockton,Urinalysis,HCPCS 81025,Urine Pregnancy Test,$28.97,MA
Signature Healthcare Brockton,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report","$2,338.55",MA
Signature Healthcare Brockton,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$166.11,MA
Signature Healthcare Brockton,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$166.11,MA
Signature Healthcare Brockton,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,$880.05,MA
Signature Healthcare Brockton,Cardiovascular,HCPCS 93975,Ultrasound Heart,$644.69,MA
Signature Healthcare Brockton,Pulmonary,HCPCS 94640,Aerosol Treatment,$538.97,MA
Signature Healthcare Brockton,Pulmonary,HCPCS 94618,Pulmonary stress test,$424.06,MA
Signature Healthcare Brockton,Pulmonary,HCPCS 94010,Spirometry - breathing test,$652.16,MA
Signature Healthcare Brockton,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",$556.17,MA
Signature Healthcare Brockton,Breast,HCPCS 77067,Mammogram Screening,$586.87,MA
Signature Healthcare Brockton,Breast,HCPCS 77066,Mammography of both breasts,$556.17,MA
Signature Healthcare Brockton,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,"$1,244.90",MA
Signature Healthcare Brockton,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,$581.32,MA
Signature Healthcare Brockton,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$536.29,MA
Signature Healthcare Brockton,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",$536.33,MA
Signature Healthcare Brockton,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,"$1,764.22",MA
Signature Healthcare Brockton,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,764.22",MA
Signature Healthcare Brockton,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,$944.94,MA
Signature Healthcare Brockton,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,"$1,057.23",MA
Signature Healthcare Brockton,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,"$1,057.23",MA
Signature Healthcare Brockton,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",$924.61,MA
Signature Healthcare Brockton,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",$536.33,MA
Signature Healthcare Brockton,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,021.14",MA
Signature Healthcare Brockton,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)","$1,002.30",MA
Signature Healthcare Brockton,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)","$1,207.69",MA
Signature Healthcare Brockton,MRI,HCPCS 72146,MRI chest spine without contrast material,"$1,207.36",MA
Signature Healthcare Brockton,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,207.36",MA
Signature Healthcare Brockton,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,"$1,974.67",MA
Signature Healthcare Brockton,MRI,HCPCS 72141,MRI neck spine without contrast material,"$1,207.36",MA
Signature Healthcare Brockton,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,"$1,943.84",MA
Signature Healthcare Brockton,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,"$1,207.75",MA
Signature Healthcare Brockton,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,908.94",MA
Signature Healthcare Brockton,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,"$1,207.50",MA
Signature Healthcare Brockton,MRI,HCPCS 73721,MRI scan of leg joint,"$1,207.26",MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",$332.94,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76506,Ultrasound Blood Flow Outside the Brain,$277.70,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",$328.51,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,$346.07,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$373.77,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",$373.77,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76857,Ultrasound of pelvis,$417.16,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",$417.16,MA
Signature Healthcare Brockton,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$319.23,MA
Signature Healthcare Brockton,Chest,HCPCS 71111,"X-ray of Both Sides of Ribs, Including Chest, Minimum of 4 Views",$337.11,MA
Signature Healthcare Brockton,Chest,HCPCS 71046,X-ray of chest; 2 Views,$350.28,MA
Signature Healthcare Brockton,Chest,HCPCS 71045,X-ray of chest; Single View,$350.28,MA
Signature Healthcare Brockton,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",$229.10,MA
Signature Healthcare Brockton,Head and Neck,HCPCS 70150,"X-ray of bones of face, minimum of 3 views",$403.11,MA
Signature Healthcare Brockton,Head and Neck,HCPCS 70160,"X-ray of bones of nose, minimum of 3 views",$262.50,MA
