Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Cass Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,672.70",MO
Cass Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$2,435.64",MO
Cass Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$2,435.64",MO
Cass Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,435.64",MO
Cass Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,435.64",MO
Cass Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,435.64",MO
Cass Regional Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$125.81,MO
Cass Regional Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$125.81,MO
Cass Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$125.81,MO
Cass Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$125.81,MO
Cass Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$125.81,MO
Cass Regional Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$125.81,MO
Cass Regional Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$125.81,MO
Cass Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$385.68,MO
Cass Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$287.18,MO
Cass Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$207.76,MO
Cass Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,$244.86,MO
Cass Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$16.63,MO
Cass Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$19.29,MO
Cass Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$102.13,MO
Cass Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$29.29,MO
Cass Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$47.82,MO
Cass Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$150.59,MO
Cass Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$150.59,MO
Cass Regional Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$104.13,MO
Cass Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$307.02,MO
Cass Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$45.58,MO
Cass Regional Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$109.73,MO
Cass Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$133.45,MO
Cass Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$115.57,MO
Cass Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$51.42,MO
Cass Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$116.41,MO
Cass Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$260.61,MO
Cass Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$70.14,MO
Cass Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$40.01,MO
Cass Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$40.01,MO
Cass Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$41.36,MO
Cass Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$25.02,MO
Cass Regional Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$36.98,MO
Cass Regional Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$38.57,MO
Cass Regional Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$45.71,MO
Cass Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$133.50,MO
Cass Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$50.54,MO
Cass Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$150.65,MO
Cass Regional Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$35.00,MO
Cass Regional Medical Center,Chemistry,HCPCS 82525,Copper level,$141.40,MO
Cass Regional Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$159.95,MO
Cass Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$140.19,MO
Cass Regional Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$119.98,MO
Cass Regional Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$354.03,MO
Cass Regional Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$305.62,MO
Cass Regional Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$108.52,MO
Cass Regional Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$124.84,MO
Cass Regional Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$108.82,MO
Cass Regional Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$57.12,MO
Cass Regional Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$69.46,MO
Cass Regional Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$147.62,MO
Cass Regional Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$147.11,MO
Cass Regional Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$97.83,MO
Cass Regional Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$134.26,MO
Cass Regional Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$137.83,MO
Cass Regional Medical Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$137.70,MO
Cass Regional Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$109.03,MO
