Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Northeast Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$578.90,MO
Northeast Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$135.10,MO
Northeast Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$155.05,MO
Northeast Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$339.85,MO
Northeast Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$31.15,MO
Northeast Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$26.95,MO
Northeast Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$157.15,MO
Northeast Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$168.00,MO
Northeast Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$54.25,MO
Northeast Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$84.70,MO
Northeast Regional Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$43.05,MO
Northeast Regional Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$600.95,MO
Northeast Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$388.15,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$309.40,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$372.40,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$74.90,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$155.05,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$201.25,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$93.45,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$180.60,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$191.45,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$122.85,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$214.55,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$67.90,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$10.50,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$66.15,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$56.70,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$218.40,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$67.20,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$24.15,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$150.50,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$66.85,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82525,Copper level,$127.40,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$213.85,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$207.90,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$85.40,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$68.60,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$304.50,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$107.80,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$118.30,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$92.05,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$77.00,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$177.45,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$211.05,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$180.60,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$468.30,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$309.40,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$238.35,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$120.75,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$185.15,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$112.35,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83540,Iron level,$74.55,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$117.95,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$67.55,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$105.35,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$79.80,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$311.15,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83945,Oxalate level,$208.95,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83970,Parathormone,$360.15,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$195.30,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$244.65,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$406.00,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,"$1,337.35",MO
Northeast Regional Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$58.80,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",$45.50,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84478,Triglycerides level,$74.55,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84560,Uric acid level,$80.50,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$58.80,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82340,Urine calcium level,$80.50,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82436,Urine chloride level,$65.45,MO
Northeast Regional Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$112.70,MO
Northeast Regional Medical Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$126.00,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84133,Urine potassium level,$56.00,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84300,Urine sodium level,$63.35,MO
Northeast Regional Medical Center,Chemistry,HCPCS 84630,Zinc level,$101.15,MO
Northeast Regional Medical Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$194.95,MO
