Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Ozarks Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,321.50",MO
Ozarks Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$115.50,MO
Ozarks Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$235.50,MO
Ozarks Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$395.25,MO
Ozarks Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$681.50,MO
Ozarks Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,137.00",MO
Ozarks Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$257.25,MO
Ozarks Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$348.00,MO
Ozarks Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$187.50,MO
Ozarks Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$127.07,MO
Ozarks Medical Center,Speech,HCPCS 92507,Speech Therapy,$104.25,MO
Ozarks Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$326.00,MO
Ozarks Medical Center,Speech,HCPCS 92526,Swallow Treatment,$261.00,MO
Ozarks Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$38.00,MO
Ozarks Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$28.00,MO
Ozarks Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$76.50,MO
Ozarks Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$211.75,MO
Ozarks Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$106.75,MO
Ozarks Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$164.00,MO
Ozarks Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$36.00,MO
Ozarks Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$141.25,MO
Ozarks Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$114.50,MO
Ozarks Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$82.00,MO
Ozarks Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$99.75,MO
Ozarks Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$68.75,MO
Ozarks Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$425.00,MO
Ozarks Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$68.50,MO
Ozarks Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$192.50,MO
Ozarks Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$129.75,MO
Ozarks Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$78.00,MO
Ozarks Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$138.00,MO
Ozarks Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$132.25,MO
Ozarks Medical Center,Chemistry,HCPCS 82140,Ammonia level,$157.00,MO
Ozarks Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$149.25,MO
Ozarks Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$101.50,MO
