Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
King's Daughters Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$303.73,MS
King's Daughters Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,027.95",MS
King's Daughters Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$125.93,MS
King's Daughters Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$247.73,MS
King's Daughters Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$384.37,MS
King's Daughters Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$586.25,MS
King's Daughters Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$834.68,MS
King's Daughters Medical Center,Hospital,HCPCS 99234,Hospital observation care discharge,$122.50,MS
King's Daughters Medical Center,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$230.58,MS
King's Daughters Medical Center,Hospital,HCPCS 99218,Hospital Observation per Hour,$54.60,MS
King's Daughters Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$100.45,MS
King's Daughters Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$168.98,MS
King's Daughters Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$168.98,MS
King's Daughters Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$168.98,MS
King's Daughters Medical Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$91.77,MS
King's Daughters Medical Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$155.70,MS
King's Daughters Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$126.70,MS
King's Daughters Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$126.70,MS
King's Daughters Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$72.10,MS
