Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Methodist Rehabilitation Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$157.50,MS
Methodist Rehabilitation Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$203.00,MS
Methodist Rehabilitation Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$112.00,MS
Methodist Rehabilitation Center,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$140.00,MS
Methodist Rehabilitation Center,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$203.00,MS
Methodist Rehabilitation Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$147.71,MS
Methodist Rehabilitation Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,MS
Methodist Rehabilitation Center,Psychology,HCPCS 90853,Group psychotherapy,$53.00,MS
Methodist Rehabilitation Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$196.19,MS
Methodist Rehabilitation Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$90.84,MS
Methodist Rehabilitation Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$133.84,MS
Methodist Rehabilitation Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,MS
Methodist Rehabilitation Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,MS
Methodist Rehabilitation Center,Speech,HCPCS 92507,Speech Therapy,-,MS
Methodist Rehabilitation Center,Speech,HCPCS 92610,Swallow Evaluation,-,MS
Methodist Rehabilitation Center,Speech,HCPCS 92526,Swallow Treatment,-,MS
Methodist Rehabilitation Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$12.58,MS
Methodist Rehabilitation Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$12.58,MS
Methodist Rehabilitation Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$50.63,MS
Methodist Rehabilitation Center,Blood,HCPCS 85610,"Blood test, clotting time",$8.18,MS
Methodist Rehabilitation Center,Blood,HCPCS 85730,Coagulation assessment blood test,$12.30,MS
Methodist Rehabilitation Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$41.50,MS
Methodist Rehabilitation Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$25.91,MS
Methodist Rehabilitation Center,Blood,HCPCS 85027,"Complete blood count, automated",$32.25,MS
Methodist Rehabilitation Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$27.84,MS
Methodist Rehabilitation Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$47.30,MS
Methodist Rehabilitation Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$27.91,MS
Methodist Rehabilitation Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$32.25,MS
Methodist Rehabilitation Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$163.40,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$33.97,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$125.78,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82040,Albumin (protein) level,$18.17,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$25.26,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$65.79,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82140,Ammonia level,$48.91,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$22.47,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$51.49,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$41.71,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$76.76,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$18.17,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$18.17,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82565,Blood creatinine level,$18.17,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$18.17,MS
Methodist Rehabilitation Center,Chemistry,HCPCS 84295,Blood sodium level,$18.17,MS
