Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Central Carolina Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NC
Central Carolina Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NC
Central Carolina Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NC
Central Carolina Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NC
Central Carolina Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,NC
Central Carolina Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,NC
Central Carolina Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,NC
Central Carolina Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,NC
Central Carolina Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,NC
Central Carolina Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,NC
Central Carolina Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,NC
Central Carolina Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,NC
Central Carolina Hospital,Chemistry,HCPCS 82140,Ammonia level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,NC
Central Carolina Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,NC
Central Carolina Hospital,Chemistry,HCPCS 82565,Blood creatinine level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84295,Blood sodium level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,NC
Central Carolina Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,NC
Central Carolina Hospital,Chemistry,HCPCS 82310,Calcium level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82525,Copper level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82746,Folic acid; serum,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",-,NC
Central Carolina Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82330,Ionized Calcium,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83540,Iron level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",-,NC
Central Carolina Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",-,NC
Central Carolina Hospital,Chemistry,HCPCS 83735,Magnesium Level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",-,NC
Central Carolina Hospital,Chemistry,HCPCS 83970,Parathormone,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84157,Prealbumin (protein) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",-,NC
Central Carolina Hospital,Chemistry,HCPCS A9270,Selenium (vitamin) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84402,Testosterone Level; Free,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",-,NC
Central Carolina Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",-,NC
Central Carolina Hospital,Chemistry,HCPCS 84166,Troponin (protein) analysis,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",-,NC
Central Carolina Hospital,Chemistry,HCPCS 82340,Urine calcium level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,-,NC
Central Carolina Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,NC
Central Carolina Hospital,Chemistry,HCPCS 84630,Zinc level,-,NC
Central Carolina Hospital,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),-,NC
Central Carolina Hospital,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,-,NC
Central Carolina Hospital,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,-,NC
Central Carolina Hospital,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,-,NC
Central Carolina Hospital,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,-,NC
Central Carolina Hospital,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,-,NC
Central Carolina Hospital,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,-,NC
Central Carolina Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,-,NC
Central Carolina Hospital,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,-,NC
Central Carolina Hospital,Immunology,HCPCS 86431,Rheumatoid factor level,-,NC
Central Carolina Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),-,NC
Central Carolina Hospital,Immunology,HCPCS 86592,Syphilis Detection Test,-,NC
Central Carolina Hospital,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),-,NC
Central Carolina Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,NC
Central Carolina Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,NC
Central Carolina Hospital,Microbiology,HCPCS 87491,Chlamydia Test,-,NC
Central Carolina Hospital,Microbiology,HCPCS 87635,Covid-19 current infection test,-,NC
Central Carolina Hospital,Microbiology,HCPCS 87493,Detection test for clostridium difficile,-,NC
Central Carolina Hospital,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,-,NC
Central Carolina Hospital,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,-,NC
Central Carolina Hospital,Microbiology,HCPCS 86747,Parvovirus antibody test,-,NC
Central Carolina Hospital,Microbiology,HCPCS 87206,Special stain for microorganism; special stain for parasites,-,NC
Central Carolina Hospital,Microbiology,HCPCS 86780,Treponema pallidum antibody test,-,NC
Central Carolina Hospital,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,-,NC
Central Carolina Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,NC
Central Carolina Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,NC
Central Carolina Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,NC
Central Carolina Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,-,NC
Central Carolina Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80307,Drug Test(s) by Chemistry Analyzer,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80177,Levetiracetam level,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,-,NC
Central Carolina Hospital,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,-,NC
Central Carolina Hospital,Transfusion,HCPCS 86900,"Blood Typing, ABO",-,NC
Central Carolina Hospital,Transfusion,HCPCS 86901,"Blood Typing, Rh (D)",-,NC
Central Carolina Hospital,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,-,NC
Central Carolina Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,NC
Central Carolina Hospital,Urinalysis,HCPCS 81025,Urine Pregnancy Test,-,NC
Central Carolina Hospital,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",-,NC
Central Carolina Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,NC
Central Carolina Hospital,Pulmonary,HCPCS 94729,Blood osmolality (concentration) measurement,-,NC
Central Carolina Hospital,Pulmonary,HCPCS 94640,Nebulizer Treatment,-,NC
Central Carolina Hospital,Pulmonary,HCPCS 94010,Spirometry - breathing test,-,NC
Central Carolina Hospital,Sleep,HCPCS 95810,Sleep study,-,NC
Central Carolina Hospital,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),-,NC
Central Carolina Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,NC
Central Carolina Hospital,Breast,HCPCS 77067,Mammogram Screening,-,NC
Central Carolina Hospital,Breast,HCPCS 77066,Mammography of both breasts,-,NC
Central Carolina Hospital,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,NC
Central Carolina Hospital,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,-,NC
Central Carolina Hospital,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",-,NC
Central Carolina Hospital,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",-,NC
Central Carolina Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,NC
Central Carolina Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,NC
Central Carolina Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,NC
Central Carolina Hospital,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,-,NC
Central Carolina Hospital,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,NC
Central Carolina Hospital,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",-,NC
Central Carolina Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,NC
Central Carolina Hospital,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",-,NC
Central Carolina Hospital,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",-,NC
Central Carolina Hospital,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",-,NC
Central Carolina Hospital,MRI,HCPCS 72146,MRI chest spine without contrast material,-,NC
Central Carolina Hospital,MRI,HCPCS 72148,MRI lumbar spine without contrast material,-,NC
Central Carolina Hospital,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,-,NC
