Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
duke health raleigh hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,193.36 ",NC
duke health raleigh hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$96.60 ,NC
duke health raleigh hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$200.48 ,NC
duke health raleigh hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$300.16 ,NC
duke health raleigh hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$532.00 ,NC
duke health raleigh hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$729.96 ,NC
duke health raleigh hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$89.04 ,NC
duke health raleigh hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$51.24 ,NC
duke health raleigh hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$72.52 ,NC
duke health raleigh hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$173.88 ,NC
duke health raleigh hospital,Speech,HCPCS 92507,Speech Therapy,$122.36 ,NC
duke health raleigh hospital,Speech,HCPCS 92610,Swallow Evaluation,$167.16 ,NC
duke health raleigh hospital,Speech,HCPCS 92526,Swallow Treatment,$130.48 ,NC
duke health raleigh hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$15.40 ,NC
duke health raleigh hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$12.46 ,NC
duke health raleigh hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$29.40 ,NC
duke health raleigh hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$44.24 ,NC
duke health raleigh hospital,Blood,HCPCS 85610,"Blood test, clotting time",$25.48 ,NC
duke health raleigh hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$28.84 ,NC
duke health raleigh hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$26.60 ,NC
duke health raleigh hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$37.24 ,NC
duke health raleigh hospital,Blood,HCPCS 85027,"Complete blood count, automated",$30.52 ,NC
duke health raleigh hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,$19.88 ,NC
duke health raleigh hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$25.48 ,NC
duke health raleigh hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$97.16 ,NC
duke health raleigh hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$42.56 ,NC
duke health raleigh hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$190.50 ,NC
duke health raleigh hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$52.64 ,NC
duke health raleigh hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$142.52 ,NC
duke health raleigh hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$21.42 ,NC
