Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Martin General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,539.00",NC
Martin General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,072.60",NC
Martin General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$438.00,NC
Martin General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$610.80,NC
Martin General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$783.60,NC
Martin General Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$999.60,NC
Martin General Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,617.60",NC
Martin General Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$465.60,NC
Martin General Hospital,Speech,HCPCS 92507,Speech Therapy,$352.20,NC
Martin General Hospital,Speech,HCPCS 92610,Swallow Evaluation,$198.60,NC
Martin General Hospital,Speech,HCPCS 92526,Swallow Treatment,$268.80,NC
Martin General Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$91.80,NC
Martin General Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$91.80,NC
Martin General Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$183.60,NC
Martin General Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$297.60,NC
Martin General Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$150.60,NC
Martin General Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$231.00,NC
Martin General Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$280.20,NC
Martin General Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$22.80,NC
Martin General Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$133.20,NC
Martin General Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$110.40,NC
Martin General Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$213.00,NC
Martin General Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$753.00,NC
Martin General Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$93.60,NC
Martin General Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$663.60,NC
Martin General Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$954.00,NC
Martin General Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$190.80,NC
Martin General Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$310.20,NC
Martin General Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82140,Ammonia level,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$249.60,NC
Martin General Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$204.60,NC
Martin General Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$280.20,NC
Martin General Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$192.60,NC
Martin General Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$192.60,NC
Martin General Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$197.40,NC
Martin General Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$150.60,NC
Martin General Hospital,Chemistry,HCPCS 84132,Blood potassium level,$177.60,NC
Martin General Hospital,Chemistry,HCPCS 84295,Blood sodium level,$185.40,NC
Martin General Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$293.40,NC
Martin General Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82310,Calcium level,$198.60,NC
Martin General Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$189.00,NC
Martin General Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82465,Cholesterol level,$168.00,NC
Martin General Hospital,Chemistry,HCPCS 82525,Copper level,$229.80,NC
Martin General Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$250.80,NC
Martin General Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$733.20,NC
Martin General Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$594.60,NC
Martin General Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$314.40,NC
Martin General Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$196.80,NC
Martin General Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$277.80,NC
Martin General Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$280.20,NC
Martin General Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$334.20,NC
Martin General Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$367.20,NC
Martin General Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$185.40,NC
Martin General Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$297.60,NC
Martin General Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$334.20,NC
Martin General Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$320.40,NC
Martin General Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,$70.80,NC
Martin General Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$253.80,NC
Martin General Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$316.80,NC
Martin General Hospital,Chemistry,HCPCS 83540,Iron level,$249.60,NC
Martin General Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$232.80,NC
Martin General Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,$161.40,NC
Martin General Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$265.20,NC
Martin General Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$198.60,NC
Martin General Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$327.00,NC
Martin General Hospital,Chemistry,HCPCS 83735,Magnesium Level,$258.00,NC
Martin General Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$66.00,NC
Martin General Hospital,Chemistry,HCPCS 83945,Oxalate level,$81.00,NC
Martin General Hospital,Chemistry,HCPCS 83970,Parathormone,$636.00,NC
Martin General Hospital,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$280.20,NC
Martin General Hospital,Chemistry,HCPCS 84157,Prealbumin (protein) level,$162.00,NC
Martin General Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$445.80,NC
Martin General Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$334.20,NC
