Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Nash General Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$238.80,WA
Nash General Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,590.00",WA
Nash General Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$316.20,WA
Nash General Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$346.20,WA
Nash General Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$708.00,WA
Nash General Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,084.20",WA
Nash General Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,506.00",WA
Nash General Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$218.40,WA
Nash General Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$283.20,WA
Nash General Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$127.80,WA
Nash General Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$108.60,WA
Nash General Hospital,Psychology,HCPCS 90853,Group psychotherapy,$57.60,WA
Nash General Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$54.00,WA
Nash General Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$54.60,WA
Nash General Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$73.80,WA
Nash General Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$103.80,WA
Nash General Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$214.80,WA
Nash General Hospital,Speech,HCPCS 92507,Speech Therapy,$214.20,WA
Nash General Hospital,Speech,HCPCS 92610,Swallow Evaluation,$199.20,WA
Nash General Hospital,Speech,HCPCS 92526,Swallow Treatment,$197.40,WA
Nash General Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$22.80,WA
Nash General Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$19.80,WA
Nash General Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$51.00,WA
Nash General Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$180.60,WA
Nash General Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$25.20,WA
Nash General Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$55.80,WA
Nash General Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$82.80,WA
Nash General Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$73.20,WA
Nash General Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$67.80,WA
Nash General Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$32.40,WA
Nash General Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$203.40,WA
Nash General Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$47.40,WA
Nash General Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$191.40,WA
Nash General Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$55.80,WA
Nash General Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$175.80,WA
Nash General Hospital,Chemistry,HCPCS 82140,Ammonia level,$45.60,WA
Nash General Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$201.00,WA
Nash General Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$82.20,WA
Nash General Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$93.00,WA
Nash General Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$169.20,WA
Nash General Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$136.20,WA
Nash General Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$49.80,WA
Nash General Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$50.40,WA
Nash General Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$49.80,WA
Nash General Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$15.00,WA
Nash General Hospital,Chemistry,HCPCS 84132,Blood potassium level,$49.80,WA
Nash General Hospital,Chemistry,HCPCS 84295,Blood sodium level,$19.80,WA
Nash General Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$45.00,WA
Nash General Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$101.40,WA
Nash General Hospital,Chemistry,HCPCS 82310,Calcium level,$90.00,WA
Nash General Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$12.00,WA
Nash General Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$135.60,WA
Nash General Hospital,Chemistry,HCPCS 82465,Cholesterol level,$100.20,WA
Nash General Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$147.60,WA
Nash General Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$79.80,WA
Nash General Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$113.40,WA
Nash General Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$54.60,WA
Nash General Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$159.00,WA
Nash General Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$159.00,WA
Nash General Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$394.20,WA
Nash General Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$318.60,WA
Nash General Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$52.20,WA
Nash General Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$112.80,WA
Nash General Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$123.00,WA
Nash General Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$159.00,WA
Nash General Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$40.20,WA
Nash General Hospital,Chemistry,HCPCS 83540,Iron level,$57.60,WA
Nash General Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$60.60,WA
Nash General Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,$34.80,WA
Nash General Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$155.40,WA
Nash General Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$136.80,WA
Nash General Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$127.20,WA
Nash General Hospital,Chemistry,HCPCS 83021,Liver function blood test panel,$166.80,WA
Nash General Hospital,Chemistry,HCPCS 83735,Magnesium Level,$59.40,WA
Nash General Hospital,Chemistry,HCPCS 83970,Parathormone,$345.60,WA
Nash General Hospital,Chemistry,HCPCS 84157,Prealbumin (protein) level,$67.20,WA
Nash General Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$211.80,WA
Nash General Hospital,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$98.40,WA
Nash General Hospital,Chemistry,HCPCS 82270,Stool analysis for blood,$13.80,WA
Nash General Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,$323.40,WA
Nash General Hospital,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$31.80,WA
Nash General Hospital,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$84.00,WA
Nash General Hospital,Chemistry,HCPCS 84155,"Total protein level, blood",$72.60,WA
Nash General Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$67.20,WA
Nash General Hospital,Chemistry,HCPCS 84166,Troponin (protein) analysis,$98.40,WA
Nash General Hospital,Chemistry,HCPCS 84560,Uric acid level,$109.20,WA
Nash General Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",$117.00,WA
Nash General Hospital,Chemistry,HCPCS 82340,Urine calcium level,$63.60,WA
Nash General Hospital,Chemistry,HCPCS 82436,Urine chloride level,$33.60,WA
Nash General Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$166.80,WA
Nash General Hospital,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$29.40,WA
Nash General Hospital,Chemistry,HCPCS 84133,Urine potassium level,$73.20,WA
Nash General Hospital,Chemistry,HCPCS 84300,Urine sodium level,$20.40,WA
Nash General Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$237.60,WA
Nash General Hospital,Chemistry,HCPCS 84630,Zinc level,$84.00,WA
Nash General Hospital,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$294.60,WA
Nash General Hospital,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$465.00,WA
Nash General Hospital,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$115.80,WA
Nash General Hospital,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$11.40,WA
Nash General Hospital,Immunology,HCPCS 86318,Covid-19 antibody test,$46.80,WA
Nash General Hospital,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$82.20,WA
