Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Onslow Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,WA
Onslow Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,WA
Onslow Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,WA
Onslow Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,WA
Onslow Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,WA
Onslow Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,WA
Onslow Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,WA
Onslow Memorial Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,WA
Onslow Memorial Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,WA
Onslow Memorial Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,WA
Onslow Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,WA
Onslow Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,-,WA
Onslow Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,-,WA
Onslow Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,-,WA
Onslow Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",-,WA
Onslow Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,WA
Onslow Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,WA
Onslow Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,WA
Onslow Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,WA
Onslow Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,WA
Onslow Memorial Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,WA
Onslow Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,WA
Onslow Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,WA
Onslow Memorial Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,WA
Onslow Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,-,WA
Onslow Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82140,Ammonia level,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,WA
Onslow Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,WA
