Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Sidney Health Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,157.65",NC
Sidney Health Center,Emergency Care,HCPCS 99281,Emergency Level 1,$285.62,NC
Sidney Health Center,Emergency Care,HCPCS 99282,Emergency Level 2,$285.62,NC
Sidney Health Center,Emergency Care,HCPCS 99283,Emergency Level 3,$285.62,NC
Sidney Health Center,Emergency Care,HCPCS 99284,Emergency Level 4,$285.62,NC
Sidney Health Center,Emergency Care,HCPCS 99285,Emergency Level 5,$285.62,NC
Sidney Health Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$105.40,NC
Sidney Health Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$105.40,NC
Sidney Health Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$105.40,NC
Sidney Health Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$105.40,NC
Sidney Health Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$105.40,NC
Sidney Health Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$82.33,NC
Sidney Health Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$82.33,NC
Sidney Health Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$11.86,NC
Sidney Health Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$23.03,NC
Sidney Health Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$41.48,NC
Sidney Health Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$41.48,NC
Sidney Health Center,Blood,HCPCS 85610,"Blood test, clotting time",$19.62,NC
Sidney Health Center,Blood,HCPCS 85730,Coagulation assessment blood test,$45.80,NC
Sidney Health Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$50.93,NC
Sidney Health Center,Blood,HCPCS 85027,"Complete blood count, automated",$50.93,NC
Sidney Health Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$16.69,NC
Sidney Health Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$113.20,NC
Sidney Health Center,Chemistry,HCPCS 82040,Albumin (protein) level,$28.03,NC
Sidney Health Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$90.02,NC
Sidney Health Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$66.80,NC
Sidney Health Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$36.01,NC
Sidney Health Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$110.55,NC
Sidney Health Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$69.58,NC
Sidney Health Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$79.59,NC
Sidney Health Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$35.04,NC
Sidney Health Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$35.04,NC
Sidney Health Center,Chemistry,HCPCS 82565,Blood creatinine level,$30.54,NC
Sidney Health Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$25.96,NC
Sidney Health Center,Chemistry,HCPCS 84132,Blood potassium level,$24.22,NC
Sidney Health Center,Chemistry,HCPCS 84295,Blood sodium level,$23.06,NC
Sidney Health Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$23.37,NC
Sidney Health Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$53.32,NC
Sidney Health Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$90.65,NC
Sidney Health Center,Chemistry,HCPCS 82533,Cortisol Measurement,$92.86,NC
Sidney Health Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$36.01,NC
Sidney Health Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$70.12,NC
Sidney Health Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$188.25,NC
Sidney Health Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$64.42,NC
Sidney Health Center,Chemistry,HCPCS 82746,Folic acid; serum,$69.76,NC
Sidney Health Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$72.86,NC
Sidney Health Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$25.90,NC
Sidney Health Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$30.32,NC
Sidney Health Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$90.96,NC
Sidney Health Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$125.08,NC
Sidney Health Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,$72.19,NC
