Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St Lukes Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$278.00,WA
St Lukes Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,854.00",WA
St Lukes Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$111.50,WA
St Lukes Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$195.00,WA
St Lukes Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$495.50,WA
St Lukes Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$680.50,WA
St Lukes Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$864.00,WA
St Lukes Hospital,Hospital,HCPCS 99234,Hospital observation care discharge,-,WA
St Lukes Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,-,WA
St Lukes Hospital,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,WA
St Lukes Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,-,WA
St Lukes Hospital,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",-,WA
St Lukes Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),-,WA
St Lukes Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),-,WA
St Lukes Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$231.88,WA
St Lukes Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$222.50,WA
St Lukes Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$172.63,WA
St Lukes Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",-,WA
St Lukes Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",-,WA
St Lukes Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$264.50,WA
St Lukes Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$257.38,WA
St Lukes Hospital,Psychology,HCPCS 90853,Group psychotherapy,$196.75,WA
St Lukes Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,WA
St Lukes Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$234.25,WA
St Lukes Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$251.38,WA
St Lukes Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$264.50,WA
St Lukes Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$230.25,WA
St Lukes Hospital,Speech,HCPCS 92507,Speech Therapy,$151.75,WA
St Lukes Hospital,Speech,HCPCS 92610,Swallow Evaluation,$82.25,WA
St Lukes Hospital,Speech,HCPCS 92526,Swallow Treatment,$162.75,WA
St Lukes Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$16.00,WA
St Lukes Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$16.00,WA
St Lukes Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,WA
St Lukes Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$157.00,WA
St Lukes Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$25.50,WA
St Lukes Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$36.38,WA
St Lukes Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,WA
St Lukes Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$57.50,WA
St Lukes Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$66.00,WA
St Lukes Hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,-,WA
St Lukes Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$37.63,WA
St Lukes Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$18.75,WA
St Lukes Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$42.63,WA
St Lukes Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$322.13,WA
St Lukes Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$10.25,WA
St Lukes Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,WA
St Lukes Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$86.75,WA
St Lukes Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$33.38,WA
St Lukes Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$42.00,WA
St Lukes Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$78.38,WA
St Lukes Hospital,Chemistry,HCPCS 82140,Ammonia level,$59.88,WA
St Lukes Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$67.00,WA
St Lukes Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$37.38,WA
St Lukes Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$116.50,WA
St Lukes Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$31.75,WA
St Lukes Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$43.50,WA
St Lukes Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$33.38,WA
St Lukes Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$33.38,WA
St Lukes Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$35.00,WA
St Lukes Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$33.38,WA
St Lukes Hospital,Chemistry,HCPCS 84132,Blood potassium level,$36.38,WA
St Lukes Hospital,Chemistry,HCPCS 84295,Blood sodium level,$35.00,WA
St Lukes Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$49.00,WA
St Lukes Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$78.38,WA
St Lukes Hospital,Chemistry,HCPCS 82310,Calcium level,$35.00,WA
St Lukes Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$27.50,WA
St Lukes Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$51.38,WA
St Lukes Hospital,Chemistry,HCPCS 82465,Cholesterol level,$33.38,WA
St Lukes Hospital,Chemistry,HCPCS 82525,Copper level,$37.38,WA
St Lukes Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$45.88,WA
St Lukes Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$53.50,WA
St Lukes Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$41.25,WA
St Lukes Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$45.88,WA
St Lukes Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$70.38,WA
St Lukes Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$75.63,WA
St Lukes Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$37.38,WA
St Lukes Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$45.88,WA
St Lukes Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$57.00,WA
St Lukes Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$36.38,WA
St Lukes Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$32.25,WA
St Lukes Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$75.50,WA
St Lukes Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$57.00,WA
St Lukes Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$49.00,WA
St Lukes Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$68.75,WA
St Lukes Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,-,WA
St Lukes Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,-,WA
St Lukes Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",-,WA
St Lukes Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$169.38,WA
St Lukes Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$43.63,WA
St Lukes Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$45.88,WA
St Lukes Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$41.25,WA
St Lukes Hospital,Chemistry,HCPCS 83540,Iron level,$41.25,WA
St Lukes Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$37.38,WA
St Lukes Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,$31.13,WA
St Lukes Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$30.13,WA
