Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
carolinas continuecare hospital at university,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$312.50,WA
carolinas continuecare hospital at university,Speech,HCPCS 92507,Speech Therapy,$175.00,WA
carolinas continuecare hospital at university,Speech,HCPCS 92610,Swallow Evaluation,$312.50,WA
carolinas continuecare hospital at university,Speech,HCPCS 92526,Swallow Treatment,$175.00,WA
carolinas continuecare hospital at university,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",$157.00,WA
carolinas continuecare hospital at university,Cardiovascular,MSDRG 208,Respiratory system diagnosis with ventilator support <=96 hours,"$180,106.62",WA
carolinas continuecare hospital at university,Cardiovascular,MSDRG 207,Respiratory system diagnosis with ventilator support >96 hours,"$335,726.56",WA
carolinas continuecare hospital at university,Other Non-Surgical Procedures,MSDRG 870,Septicemia or severe sepsis with mv >96 hours,"$279,652.54",WA
carolinas continuecare hospital at university,Other Non-Surgical Procedures,MSDRG 558,"Tendonitis, myositis and bursitis","$50,624.30",WA
carolinas continuecare hospital at university,Pulmonary,HCPCS 94640,Aerosol Treatment,$144.50,WA
carolinas continuecare hospital at university,Pulmonary,MSDRG 189,Pulmonary edema and respiratory failure,"$167,633.10",WA
carolinas continuecare hospital at university,Soft Tissue,HCPCS 97597,Debridement of open wound,$343.00,WA
carolinas continuecare hospital at university,Soft Tissue,HCPCS 97602,Non-selective debridement,$351.75,WA
carolinas continuecare hospital at university,Vascular,HCPCS 36430,Transfusion of Blood or Blood Products,"$1,125.00",WA
