Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Essentia Health-Fargo,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$548.25,ND
Essentia Health-Fargo,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,587.00",ND
Essentia Health-Fargo,Emergency Care,HCPCS 99281,Emergency Level 1,$167.25,ND
Essentia Health-Fargo,Emergency Care,HCPCS 99282,Emergency Level 2,$267.00,ND
Essentia Health-Fargo,Emergency Care,HCPCS 99283,Emergency Level 3,$438.75,ND
Essentia Health-Fargo,Emergency Care,HCPCS 99284,Emergency Level 4,$684.00,ND
Essentia Health-Fargo,Emergency Care,HCPCS 99285,Emergency Level 5,$993.75,ND
Essentia Health-Fargo,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$118.50,ND
Essentia Health-Fargo,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$147.00,ND
Essentia Health-Fargo,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$80.25,ND
Essentia Health-Fargo,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$384.00,ND
Essentia Health-Fargo,Speech,HCPCS 92507,Speech Therapy,$159.75,ND
Essentia Health-Fargo,Speech,HCPCS 92610,Swallow Evaluation,$216.75,ND
Essentia Health-Fargo,Speech,HCPCS 92526,Swallow Treatment,$172.50,ND
Essentia Health-Fargo,Blood,HCPCS 85018,"Blood count, hemoglobin",$30.75,ND
Essentia Health-Fargo,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$34.50,ND
Essentia Health-Fargo,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$51.00,ND
Essentia Health-Fargo,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$79.50,ND
Essentia Health-Fargo,Blood,HCPCS 85610,"Blood test, clotting time",$47.25,ND
Essentia Health-Fargo,Blood,HCPCS 85730,Coagulation assessment blood test,$62.25,ND
Essentia Health-Fargo,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$60.00,ND
Essentia Health-Fargo,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$82.50,ND
Essentia Health-Fargo,Blood,HCPCS 85027,"Complete blood count, automated",$54.00,ND
Essentia Health-Fargo,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$107.25,ND
Essentia Health-Fargo,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$148.50,ND
Essentia Health-Fargo,Blood,HCPCS 85660,Red blood cell sickling measurement,$56.25,ND
Essentia Health-Fargo,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$427.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$138.75,ND
Essentia Health-Fargo,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$159.75,ND
Essentia Health-Fargo,Chemistry,HCPCS 82040,Albumin (protein) level,$36.75,ND
Essentia Health-Fargo,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$145.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$93.00,ND
Essentia Health-Fargo,Chemistry,HCPCS 82140,Ammonia level,$110.25,ND
Essentia Health-Fargo,Chemistry,HCPCS 82150,Amylase (enzyme) level,$67.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$78.75,ND
Essentia Health-Fargo,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$135.00,ND
Essentia Health-Fargo,Chemistry,HCPCS 84439,Assay of free thyroxine,$73.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$129.75,ND
Essentia Health-Fargo,Chemistry,HCPCS 82248,Bilirubin level (Direct),$46.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 82247,Bilirubin level (Total),$58.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 82565,Blood creatinine level,$57.00,ND
Essentia Health-Fargo,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$44.25,ND
Essentia Health-Fargo,Chemistry,HCPCS 84295,Blood sodium level,$48.00,ND
Essentia Health-Fargo,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$51.00,ND
Essentia Health-Fargo,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$103.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 82310,Calcium level,$54.75,ND
Essentia Health-Fargo,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$56.25,ND
Essentia Health-Fargo,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$120.00,ND
Essentia Health-Fargo,Chemistry,HCPCS 82465,Cholesterol level,$38.25,ND
Essentia Health-Fargo,Chemistry,HCPCS 82525,Copper level,$67.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 82533,Cortisol Measurement,$100.50,ND
Essentia Health-Fargo,Chemistry,HCPCS 84681,C-peptide (protein) level,$84.75,ND
Essentia Health-Fargo,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$60.00,ND
Essentia Health-Fargo,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$96.75,ND
