Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Heart of America Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,ND
Heart of America Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,ND
Heart of America Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,ND
Heart of America Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),-,ND
Heart of America Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),-,ND
Heart of America Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,ND
Heart of America Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,ND
Heart of America Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,ND
Heart of America Medical Center,Speech,HCPCS 92507,Speech Therapy,-,ND
Heart of America Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,ND
Heart of America Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,ND
Heart of America Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,ND
Heart of America Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,ND
Heart of America Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,ND
Heart of America Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,ND
Heart of America Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,ND
Heart of America Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,-,ND
Heart of America Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,-,ND
Heart of America Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,ND
Heart of America Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,-,ND
Heart of America Medical Center,Chemistry,HCPCS 84295,Blood sodium level,-,ND
Heart of America Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,ND
Heart of America Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,ND
Heart of America Medical Center,Chemistry,HCPCS 82310,Calcium level,-,ND
Heart of America Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,ND
