Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Sanford Mayville,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,268.00",ND
Sanford Mayville,Emergency Care,HCPCS 99281,Emergency Level 1,$237.00,ND
Sanford Mayville,Emergency Care,HCPCS 99282,Emergency Level 2,$331.00,ND
Sanford Mayville,Emergency Care,HCPCS 99283,Emergency Level 3,$473.00,ND
Sanford Mayville,Emergency Care,HCPCS 99284,Emergency Level 4,$804.00,ND
Sanford Mayville,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,399.00",ND
Sanford Mayville,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$450.00,ND
Sanford Mayville,Speech,HCPCS 92507,Speech Therapy,$238.00,ND
Sanford Mayville,Speech,HCPCS 92610,Swallow Evaluation,$293.00,ND
Sanford Mayville,Speech,HCPCS 92526,Swallow Treatment,$263.00,ND
Sanford Mayville,Blood,HCPCS 85018,"Blood count, hemoglobin",$23.00,ND
Sanford Mayville,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$18.00,ND
Sanford Mayville,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$41.00,ND
Sanford Mayville,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$84.00,ND
Sanford Mayville,Blood,HCPCS 85610,"Blood test, clotting time",$32.00,ND
Sanford Mayville,Blood,HCPCS 85730,Coagulation assessment blood test,$36.00,ND
Sanford Mayville,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,ND
Sanford Mayville,Blood,HCPCS 85027,"Complete blood count, automated",-,ND
Sanford Mayville,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,ND
Sanford Mayville,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$89.00,ND
Sanford Mayville,Blood,HCPCS 85660,Red blood cell sickling measurement,$35.00,ND
Sanford Mayville,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$451.00,ND
Sanford Mayville,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,ND
Sanford Mayville,Chemistry,HCPCS 82040,Albumin (protein) level,-,ND
Sanford Mayville,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,ND
Sanford Mayville,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,ND
Sanford Mayville,Chemistry,HCPCS 82140,Ammonia level,-,ND
Sanford Mayville,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,ND
Sanford Mayville,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,ND
Sanford Mayville,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,ND
Sanford Mayville,Chemistry,HCPCS 84439,Assay of free thyroxine,$50.00,ND
Sanford Mayville,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,-,ND
Sanford Mayville,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,ND
Sanford Mayville,Chemistry,HCPCS 82247,Bilirubin level (Total),$29.00,ND
Sanford Mayville,Chemistry,HCPCS 82565,Blood creatinine level,-,ND
Sanford Mayville,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$34.00,ND
Sanford Mayville,Chemistry,HCPCS 84295,Blood sodium level,$29.00,ND
Sanford Mayville,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$34.00,ND
Sanford Mayville,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$103.00,ND
Sanford Mayville,Chemistry,HCPCS 82310,Calcium level,-,ND
Sanford Mayville,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,-,ND
Sanford Mayville,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,ND
Sanford Mayville,Chemistry,HCPCS 82465,Cholesterol level,-,ND
Sanford Mayville,Chemistry,HCPCS 82525,Copper level,-,ND
Sanford Mayville,Chemistry,HCPCS 82533,Cortisol Measurement,-,ND
Sanford Mayville,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,ND
Sanford Mayville,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$91.00,ND
Sanford Mayville,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$238.00,ND
Sanford Mayville,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$82.00,ND
Sanford Mayville,Chemistry,HCPCS 82746,Folic acid; serum,$89.00,ND
Sanford Mayville,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$72.00,ND
Sanford Mayville,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$59.00,ND
Sanford Mayville,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$59.00,ND
Sanford Mayville,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$110.00,ND
Sanford Mayville,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$116.00,ND
Sanford Mayville,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$82.00,ND
Sanford Mayville,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$107.00,ND
Sanford Mayville,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$173.00,ND
Sanford Mayville,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,ND
Sanford Mayville,Chemistry,HCPCS 82330,Ionized Calcium,-,ND
Sanford Mayville,Chemistry,HCPCS 83550,Iron Binding Capacity,$52.00,ND
Sanford Mayville,Chemistry,HCPCS 83540,Iron level,$33.00,ND
Sanford Mayville,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$48.00,ND
Sanford Mayville,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$52.00,ND
Sanford Mayville,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",-,ND
Sanford Mayville,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$114.00,ND
Sanford Mayville,Chemistry,HCPCS 83735,Magnesium Level,$38.00,ND
Sanford Mayville,Chemistry,HCPCS 82542,Mass spectrometry,$114.00,ND
Sanford Mayville,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$71.00,ND
Sanford Mayville,Chemistry,HCPCS 83970,Parathormone,$224.00,ND
Sanford Mayville,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,-,ND
Sanford Mayville,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$99.00,ND
Sanford Mayville,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$64.00,ND
Sanford Mayville,Chemistry,HCPCS 84403,Testosterone (hormone) level,$158.00,ND
Sanford Mayville,Chemistry,HCPCS 84402,Testosterone Level; Free,$156.00,ND
Sanford Mayville,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$314.00,ND
Sanford Mayville,Chemistry,HCPCS 84155,"Total protein level, blood",$23.00,ND
Sanford Mayville,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$23.00,ND
Sanford Mayville,Chemistry,HCPCS 84478,Triglycerides level,$39.00,ND
Sanford Mayville,Chemistry,HCPCS 84166,Troponin (protein) analysis,$109.00,ND
Sanford Mayville,Chemistry,HCPCS 84550,"Uric acid level, blood",$30.00,ND
Sanford Mayville,Chemistry,HCPCS 82340,Urine calcium level,-,ND
Sanford Mayville,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$64.00,ND
Sanford Mayville,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$38.00,ND
Sanford Mayville,Chemistry,HCPCS 84300,Urine sodium level,$29.00,ND
Sanford Mayville,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$166.00,ND
Sanford Mayville,Chemistry,HCPCS 84630,Zinc level,$72.00,ND
Sanford Mayville,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$110.00,ND
Sanford Mayville,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),-,ND
Sanford Mayville,Immunology,HCPCS 86695,"Analysis for antibody to Herpes simplex virus, type 1",$80.00,ND
Sanford Mayville,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$92.00,ND
Sanford Mayville,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,-,ND
Sanford Mayville,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$61.00,ND
Sanford Mayville,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$64.00,ND
Sanford Mayville,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$138.00,ND
Sanford Mayville,Immunology,HCPCS 86140,Measurement C-reactive protein,-,ND
Sanford Mayville,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$32.00,ND
Sanford Mayville,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$102.00,ND
Sanford Mayville,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,-,ND
Sanford Mayville,Immunology,HCPCS 86431,Rheumatoid factor level,$35.00,ND
Sanford Mayville,Immunology,HCPCS 86255,Screening test for antibody to noninfectious agent,-,ND
Sanford Mayville,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$32.00,ND
Sanford Mayville,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",-,ND
Sanford Mayville,Immunology,HCPCS 86359,"T cells count, total",-,ND
Sanford Mayville,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$101.00,ND
Sanford Mayville,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),-,ND
Sanford Mayville,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,ND
Sanford Mayville,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,ND
Sanford Mayville,Microbiology,HCPCS 87491,Chlamydia Test,-,ND
Sanford Mayville,Microbiology,HCPCS 87635,Covid-19 current infection test,-,ND
Sanford Mayville,Microbiology,HCPCS 87493,Detection test for clostridium difficile,-,ND
Sanford Mayville,Microbiology,HCPCS 87324,Detection test for clostridium difficile toxins (stool pathogen),-,ND
Sanford Mayville,Microbiology,HCPCS 87340,Detection test for Hepatitis Be surface antigen,$59.00,ND
Sanford Mayville,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$216.00,ND
Sanford Mayville,Microbiology,HCPCS 87517,Hepatitis B Detection,$279.00,ND
Sanford Mayville,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$131.00,ND
Sanford Mayville,Microbiology,HCPCS 87624,HPV Detection,$106.00,ND
Sanford Mayville,Microbiology,HCPCS 86747,Parvovirus antibody test,$93.00,ND
Sanford Mayville,Microbiology,HCPCS 86762,Rubella virus antibody test,$82.00,ND
Sanford Mayville,Microbiology,HCPCS 87045,Stool Culture,-,ND
Sanford Mayville,Microbiology,HCPCS 87880,Streptoccus,$61.00,ND
Sanford Mayville,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$60.00,ND
Sanford Mayville,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,$65.00,ND
Sanford Mayville,Molecular pathology,HCPCS 81256,Gene analysis (hemochromatosis) common variants,$505.00,ND
Sanford Mayville,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,$290.00,ND
