Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
St. Aloisius Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$473.40,ND
St. Aloisius Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,670.85",ND
St. Aloisius Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$180.45,ND
St. Aloisius Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$251.55,ND
St. Aloisius Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$438.30,ND
St. Aloisius Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$709.20,ND
St. Aloisius Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,138.95",ND
St. Aloisius Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$726.30,ND
St. Aloisius Medical Center,Speech,HCPCS 92507,Speech Therapy,$292.50,ND
St. Aloisius Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$372.60,ND
St. Aloisius Medical Center,Speech,HCPCS 92526,Swallow Treatment,$328.95,ND
St. Aloisius Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$50.85,ND
St. Aloisius Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$17.55,ND
St. Aloisius Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$29.70,ND
St. Aloisius Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$79.65,ND
St. Aloisius Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$61.65,ND
St. Aloisius Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$42.30,ND
St. Aloisius Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$54.00,ND
St. Aloisius Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$31.95,ND
St. Aloisius Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$22.05,ND
St. Aloisius Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$91.80,ND
St. Aloisius Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$701.10,ND
St. Aloisius Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",$22.50,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$232.20,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$263.25,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$35.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$89.55,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$115.65,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82140,Ammonia level,$108.90,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$44.55,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$99.90,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$128.25,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$63.90,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$111.15,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$36.45,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$33.30,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$61.65,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$28.35,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$22.95,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$35.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$40.95,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$61.65,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$115.65,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82310,Calcium level,$36.45,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$35.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$130.50,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$31.05,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82525,Copper level,$85.50,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$105.75,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$142.20,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$45.90,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$77.40,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$174.15,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$263.25,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$94.05,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$102.15,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$63.90,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$57.60,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$67.95,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$127.35,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$127.35,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$86.85,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,$56.25,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$117.00,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$135.90,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$188.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$78.30,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$94.05,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$54.45,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83540,Iron level,$44.55,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$42.30,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,$65.70,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$48.60,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$36.45,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$97.20,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$91.80,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$235.35,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$72.90,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$74.70,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83945,Oxalate level,$88.65,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83970,Parathormone,$256.05,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$26.55,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$83.25,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$133.20,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$75.15,ND
St. Aloisius Medical Center,Chemistry,HCPCS A9270,Selenium (vitamin) level,$7.25,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$129.60,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$174.15,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$347.85,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$48.60,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",$26.55,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$23.40,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84166,Troponin (protein) analysis,$89.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84560,Uric acid level,$35.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$32.40,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82340,Urine calcium level,$42.30,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82436,Urine chloride level,$36.45,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$29.70,ND
St. Aloisius Medical Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$48.60,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84120,Urine porphyrins (metabolism substance) measurement,$98.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84133,Urine potassium level,$31.05,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84300,Urine sodium level,$35.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84591,Vitamin B-6 level,$98.10,ND
St. Aloisius Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$153.00,ND
St. Aloisius Medical Center,Chemistry,HCPCS 84630,Zinc level,$78.30,ND
St. Aloisius Medical Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$117.00,ND
St. Aloisius Medical Center,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$99.00,ND
