Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Avera Creighton Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,NE
Avera Creighton Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,NE
Avera Creighton Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,NE
Avera Creighton Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,NE
Avera Creighton Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,NE
Avera Creighton Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,NE
Avera Creighton Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,NE
Avera Creighton Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,NE
Avera Creighton Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,NE
Avera Creighton Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,NE
Avera Creighton Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,NE
Avera Creighton Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,NE
Avera Creighton Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,NE
Avera Creighton Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,-,NE
Avera Creighton Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,-,NE
Avera Creighton Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",-,NE
Avera Creighton Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,NE
Avera Creighton Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,-,NE
Avera Creighton Hospital,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,-,NE
Avera Creighton Hospital,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),-,NE
Avera Creighton Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,NE
Avera Creighton Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,NE
Avera Creighton Hospital,Microbiology,HCPCS 87804,Test for Influenza Virus,-,NE
Avera Creighton Hospital,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,-,NE
Avera Creighton Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,NE
Avera Creighton Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,NE
Avera Creighton Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,NE
Avera Creighton Hospital,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,-,NE
Avera Creighton Hospital,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",-,NE
Avera Creighton Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,NE
Avera Creighton Hospital,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",-,NE
Avera Creighton Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,NE
Avera Creighton Hospital,Sleep,HCPCS 95810,Sleep study,-,NE
Avera Creighton Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,NE
Avera Creighton Hospital,Breast,HCPCS 77067,Mammogram Screening,-,NE
Avera Creighton Hospital,Breast,HCPCS 77066,Mammography of both breasts,-,NE
Avera Creighton Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,NE
Avera Creighton Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,NE
Avera Creighton Hospital,MRI,HCPCS 72156,MRI neck spine without & with contrast material,-,NE
Avera Creighton Hospital,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,-,NE
Avera Creighton Hospital,MRI,HCPCS 73721,MRI scan of leg joint,-,NE
Avera Creighton Hospital,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",-,NE
Avera Creighton Hospital,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,-,NE
Avera Creighton Hospital,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",-,NE
Avera Creighton Hospital,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",-,NE
Avera Creighton Hospital,Ultrasound,HCPCS 76857,Ultrasound of pelvis,-,NE
Avera Creighton Hospital,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",-,NE
Avera Creighton Hospital,Chest,HCPCS 71046,X-ray of chest; 2 Views,-,NE
Avera Creighton Hospital,Chest,HCPCS 71045,X-ray of chest; Single View,-,NE
Avera Creighton Hospital,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",-,NE
Avera Creighton Hospital,Hip and Pelvis,HCPCS 73522,"X-ray Both Hips and Pelvis, 3-4 Views",-,NE
Avera Creighton Hospital,Hip and Pelvis,HCPCS 73502,"X-ray Hip and Pelvis, 2 Views",-,NE
Avera Creighton Hospital,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",-,NE
Avera Creighton Hospital,Lower Limbs,HCPCS 73565,X-ray Both Knees,-,NE
Avera Creighton Hospital,Lower Limbs,HCPCS 73630,X-ray exam of foot,-,NE
Avera Creighton Hospital,Lower Limbs,HCPCS 73562,"X-ray exam of knee, 3 views",-,NE
Avera Creighton Hospital,Lower Limbs,HCPCS 73620,"X-ray Foot, 2 Views",-,NE
Avera Creighton Hospital,Lower Limbs,HCPCS 73650,"X-ray Heel, 2 Views",-,NE
Avera Creighton Hospital,Lower Limbs,HCPCS 73564,"X-ray Knee, 4 or More Views",-,NE
Avera Creighton Hospital,Spine,HCPCS 72100,"X-ray Lower Sacral Spine, 2 or 3 views",-,NE
Avera Creighton Hospital,Spine,HCPCS 72040,"X-ray Neck Spine, 2-3 Views",-,NE
Avera Creighton Hospital,Upper Limbs,HCPCS 73080,"X-ray Elbow, 3 Views",-,NE
Avera Creighton Hospital,Upper Limbs,HCPCS 73140,"X-ray Fingers, 2 Views",-,NE
Avera Creighton Hospital,Upper Limbs,HCPCS 73130,"X-ray Hand, 3 Views",-,NE
Avera Creighton Hospital,Upper Limbs,HCPCS 73030,"X-ray Shoulder, 2 Views",-,NE
Avera Creighton Hospital,Upper Limbs,HCPCS 73090,"X-ray Upper Arm, 2 Views",-,NE
Avera Creighton Hospital,Upper Limbs,HCPCS 73110,"X-ray Wrist, 3+ Views",-,NE
Avera Creighton Hospital,Digestive,HCPCS 45378,"Colonoscopy, diagnostic",-,NE
Avera Creighton Hospital,Digestive,HCPCS 45380,"Colonoscopy, with biopsy",-,NE
Avera Creighton Hospital,Digestive,HCPCS 45385,"Colonoscopy, with tumor removal (SNARE)",-,NE
Avera Creighton Hospital,Digestive,HCPCS 43235,EGD,-,NE
Avera Creighton Hospital,Digestive,HCPCS 43239,EGD and biopsy,-,NE
Avera Creighton Hospital,Head,HCPCS 69436,Create eardrum opening,-,NE
