Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Avera St. Anthony's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,NE
Avera St. Anthony's Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,NE
Avera St. Anthony's Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,NE
Avera St. Anthony's Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,NE
Avera St. Anthony's Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,NE
Avera St. Anthony's Hospital,Speech,HCPCS 92507,Speech Therapy,-,NE
Avera St. Anthony's Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,NE
Avera St. Anthony's Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,NE
Avera St. Anthony's Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 83735,Magnesium Level,-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",-,NE
Avera St. Anthony's Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,NE
Avera St. Anthony's Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,-,NE
Avera St. Anthony's Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,NE
Avera St. Anthony's Hospital,Microbiology,HCPCS 87493,Detection test for clostridium difficile,-,NE
Avera St. Anthony's Hospital,Microbiology,HCPCS 87045,Stool Culture,-,NE
Avera St. Anthony's Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,NE
Avera St. Anthony's Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,NE
Avera St. Anthony's Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,NE
Avera St. Anthony's Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,-,NE
Avera St. Anthony's Hospital,Surgical Pathology,HCPCS 88312,Special Stain for Microorganism; Gram or Glemsa Stain,-,NE
Avera St. Anthony's Hospital,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,-,NE
Avera St. Anthony's Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,NE
Avera St. Anthony's Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,NE
Avera St. Anthony's Hospital,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,-,NE
Avera St. Anthony's Hospital,Sleep,HCPCS 95810,Sleep study,-,NE
Avera St. Anthony's Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,NE
Avera St. Anthony's Hospital,Breast,HCPCS 77067,Mammogram Screening,-,NE
Avera St. Anthony's Hospital,Breast,HCPCS 77066,Mammography of both breasts,-,NE
Avera St. Anthony's Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,NE
Avera St. Anthony's Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,NE
Avera St. Anthony's Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,NE
Avera St. Anthony's Hospital,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,NE
Avera St. Anthony's Hospital,MRI,HCPCS 72148,MRI lumbar spine without contrast material,-,NE
Avera St. Anthony's Hospital,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,-,NE
Avera St. Anthony's Hospital,MRI,HCPCS 70553,MRI scan of brain before and after contrast,-,NE
Avera St. Anthony's Hospital,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,-,NE
Avera St. Anthony's Hospital,MRI,HCPCS 73721,MRI scan of leg joint,-,NE
Avera St. Anthony's Hospital,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",-,NE
Avera St. Anthony's Hospital,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,-,NE
