Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Boone County Health Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,177.55",NE
Boone County Health Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,024.23",NE
Boone County Health Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,024.23",NE
Boone County Health Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,024.23",NE
Boone County Health Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,024.23",NE
Boone County Health Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,024.23",NE
Boone County Health Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$197.97,NE
Boone County Health Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$197.97,NE
Boone County Health Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$197.97,NE
Boone County Health Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$197.97,NE
Boone County Health Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$197.97,NE
Boone County Health Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$180.13,NE
Boone County Health Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$180.13,NE
Boone County Health Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$226.85,NE
Boone County Health Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$163.43,NE
Boone County Health Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$163.43,NE
Boone County Health Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$163.43,NE
Boone County Health Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$26.10,NE
Boone County Health Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$27.00,NE
Boone County Health Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$112.50,NE
Boone County Health Center,Blood,HCPCS 85610,"Blood test, clotting time",$48.53,NE
Boone County Health Center,Blood,HCPCS 85730,Coagulation assessment blood test,$75.75,NE
Boone County Health Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$76.83,NE
Boone County Health Center,Blood,HCPCS 85027,"Complete blood count, automated",$76.83,NE
Boone County Health Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$44.10,NE
Boone County Health Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$189.90,NE
Boone County Health Center,Chemistry,HCPCS 82040,Albumin (protein) level,$79.31,NE
Boone County Health Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$73.80,NE
Boone County Health Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$179.53,NE
Boone County Health Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$80.10,NE
Boone County Health Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$47.75,NE
Boone County Health Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$47.75,NE
Boone County Health Center,Chemistry,HCPCS 82565,Blood creatinine level,$47.54,NE
Boone County Health Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$40.09,NE
Boone County Health Center,Chemistry,HCPCS 84132,Blood potassium level,$40.50,NE
Boone County Health Center,Chemistry,HCPCS 84295,Blood sodium level,$40.36,NE
Boone County Health Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$44.10,NE
Boone County Health Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$107.70,NE
Boone County Health Center,Chemistry,HCPCS 82310,Calcium level,$44.61,NE
Boone County Health Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$126.00,NE
Boone County Health Center,Chemistry,HCPCS 82465,Cholesterol level,$56.70,NE
Boone County Health Center,Chemistry,HCPCS 82533,Cortisol Measurement,$103.50,NE
Boone County Health Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$111.49,NE
Boone County Health Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$115.76,NE
Boone County Health Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$103.81,NE
Boone County Health Center,Chemistry,HCPCS 82746,Folic acid; serum,$116.10,NE
Boone County Health Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$70.45,NE
Boone County Health Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$54.00,NE
Boone County Health Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$73.69,NE
Boone County Health Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$95.40,NE
Boone County Health Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$99.00,NE
Boone County Health Center,Chemistry,HCPCS 83540,Iron level,$49.16,NE
Boone County Health Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$55.55,NE
Boone County Health Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$88.20,NE
Boone County Health Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$54.00,NE
Boone County Health Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$157.86,NE
Boone County Health Center,Chemistry,HCPCS 83735,Magnesium Level,$68.40,NE
Boone County Health Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$133.20,NE
Boone County Health Center,Chemistry,HCPCS 83970,Parathormone,$183.60,NE
Boone County Health Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$70.02,NE
Boone County Health Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$70.02,NE
Boone County Health Center,Chemistry,HCPCS 82270,Stool analysis for blood,$36.28,NE
Boone County Health Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$137.93,NE
Boone County Health Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$137.93,NE
Boone County Health Center,Chemistry,HCPCS 84155,"Total protein level, blood",$70.02,NE
Boone County Health Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$70.02,NE
Boone County Health Center,Chemistry,HCPCS 84166,Troponin (protein) analysis,$70.02,NE
Boone County Health Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$41.40,NE
Boone County Health Center,Chemistry,HCPCS 82340,Urine calcium level,$44.61,NE
Boone County Health Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$79.31,NE
Boone County Health Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$67.50,NE
Boone County Health Center,Chemistry,HCPCS 84300,Urine sodium level,$40.36,NE
Boone County Health Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$151.55,NE
Boone County Health Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$84.58,NE
Boone County Health Center,Immunology,HCPCS 86318,Covid-19 antibody test,$77.56,NE
Boone County Health Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$84.58,NE
Boone County Health Center,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$77.56,NE
Boone County Health Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$83.46,NE
Boone County Health Center,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$108.00,NE
Boone County Health Center,Immunology,HCPCS 86431,Rheumatoid factor level,$56.70,NE
Boone County Health Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$62.10,NE
Boone County Health Center,Immunology,HCPCS 86580,Skin test for tuberculosis,$47.70,NE
Boone County Health Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$93.01,NE
