Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Bryan Medical Center West,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,NE
Bryan Medical Center West,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,NE
Bryan Medical Center West,Emergency Care,HCPCS 99281,Emergency Level 1,-,NE
Bryan Medical Center West,Emergency Care,HCPCS 99282,Emergency Level 2,-,NE
Bryan Medical Center West,Emergency Care,HCPCS 99283,Emergency Level 3,-,NE
Bryan Medical Center West,Emergency Care,HCPCS 99284,Emergency Level 4,-,NE
Bryan Medical Center West,Emergency Care,HCPCS 99285,Emergency Level 5,-,NE
Bryan Medical Center West,Hospital,HCPCS 99234,Hospital observation care discharge,-,NE
Bryan Medical Center West,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,NE
Bryan Medical Center West,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NE
Bryan Medical Center West,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,NE
Bryan Medical Center West,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NE
Bryan Medical Center West,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,NE
Bryan Medical Center West,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,NE
Bryan Medical Center West,Psychology,HCPCS 90853,Group psychotherapy,-,NE
Bryan Medical Center West,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,NE
Bryan Medical Center West,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,NE
Bryan Medical Center West,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,NE
Bryan Medical Center West,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,NE
Bryan Medical Center West,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NE
Bryan Medical Center West,Speech,HCPCS 92507,Speech Therapy,-,NE
Bryan Medical Center West,Speech,HCPCS 92610,Swallow Evaluation,-,NE
Bryan Medical Center West,Speech,HCPCS 92526,Swallow Treatment,-,NE
Bryan Medical Center West,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NE
Bryan Medical Center West,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,NE
Bryan Medical Center West,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,NE
Bryan Medical Center West,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,NE
Bryan Medical Center West,Blood,HCPCS 85610,"Blood test, clotting time",-,NE
Bryan Medical Center West,Blood,HCPCS 85730,Coagulation assessment blood test,-,NE
Bryan Medical Center West,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,NE
Bryan Medical Center West,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,NE
Bryan Medical Center West,Blood,HCPCS 85027,"Complete blood count, automated",-,NE
Bryan Medical Center West,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,NE
Bryan Medical Center West,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,-,NE
Bryan Medical Center West,Blood,HCPCS 85660,Red blood cell sickling measurement,-,NE
Bryan Medical Center West,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,NE
Bryan Medical Center West,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82040,Albumin (protein) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,NE
Bryan Medical Center West,Chemistry,HCPCS 82140,Ammonia level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,NE
Bryan Medical Center West,Chemistry,HCPCS 84439,Assay of free thyroxine,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82248,Bilirubin level (Direct),-,NE
Bryan Medical Center West,Chemistry,HCPCS 82247,Bilirubin level (Total),-,NE
Bryan Medical Center West,Chemistry,HCPCS 82565,Blood creatinine level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 84295,Blood sodium level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,NE
Bryan Medical Center West,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,NE
Bryan Medical Center West,Chemistry,HCPCS 82310,Calcium level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82465,Cholesterol level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82525,Copper level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82533,Cortisol Measurement,-,NE
Bryan Medical Center West,Chemistry,HCPCS 84681,C-peptide (protein) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",-,NE
Bryan Medical Center West,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82746,Folic acid; serum,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82784,Gammaglobulin Measurement,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",-,NE
Bryan Medical Center West,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83718,HDL cholesterol level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83020,Hemoglobin Measurement,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",-,NE
Bryan Medical Center West,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83525,Insulin Measurement; Total,-,NE
Bryan Medical Center West,Chemistry,HCPCS 82330,Ionized Calcium,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83550,Iron Binding Capacity,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83540,Iron level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,-,NE
Bryan Medical Center West,Chemistry,HCPCS 83721,LDL cholesterol level,-,NE
