Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Crete Area Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,NE
Crete Area Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,NE
Crete Area Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,NE
Crete Area Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,NE
Crete Area Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,NE
Crete Area Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,NE
Crete Area Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,NE
Crete Area Medical Center,Hospital,HCPCS 99234,Hospital observation care discharge,-,NE
Crete Area Medical Center,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,-,NE
Crete Area Medical Center,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,NE
Crete Area Medical Center,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",-,NE
Crete Area Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NE
Crete Area Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,NE
Crete Area Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NE
Crete Area Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,NE
Crete Area Medical Center,Psychology,HCPCS 90853,Group psychotherapy,-,NE
Crete Area Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,NE
Crete Area Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,NE
Crete Area Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,NE
Crete Area Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,NE
Crete Area Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NE
Crete Area Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NE
Crete Area Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NE
