Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Howard County Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$673.74,NE
Howard County Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$775.33,NE
Howard County Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$775.33,NE
Howard County Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$775.33,NE
Howard County Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$775.33,NE
Howard County Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$775.33,NE
Howard County Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$195.41,NE
Howard County Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$195.41,NE
Howard County Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$195.41,NE
Howard County Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$195.41,NE
Howard County Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$245.00,NE
Howard County Medical Center,Speech,HCPCS 92526,Swallow Treatment,$260.00,NE
Howard County Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$37.33,NE
Howard County Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$38.28,NE
Howard County Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$94.40,NE
Howard County Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$94.40,NE
Howard County Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$59.29,NE
Howard County Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$85.39,NE
Howard County Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$94.14,NE
Howard County Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$94.14,NE
Howard County Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$45.12,NE
Howard County Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$45.12,NE
Howard County Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$84.72,NE
Howard County Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$88.81,NE
Howard County Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$217.38,NE
Howard County Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$85.37,NE
Howard County Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$57.88,NE
Howard County Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$57.88,NE
Howard County Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$64.56,NE
Howard County Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$49.01,NE
Howard County Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$53.00,NE
Howard County Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$116.66,NE
Howard County Medical Center,Chemistry,HCPCS 82310,Calcium level,$62.21,NE
Howard County Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$151.71,NE
Howard County Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$138.00,NE
Howard County Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$126.00,NE
Howard County Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$121.43,NE
Howard County Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$139.86,NE
Howard County Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$274.00,NE
Howard County Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$130.20,NE
Howard County Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$133.76,NE
Howard County Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$100.70,NE
Howard County Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$58.71,NE
Howard County Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$74.45,NE
Howard County Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$130.00,NE
Howard County Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$116.00,NE
Howard County Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$113.50,NE
Howard County Medical Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$576.00,NE
