Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Merrick Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,NE
Merrick Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,NE
Merrick Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,NE
Merrick Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,NE
Merrick Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,NE
Merrick Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,NE
Merrick Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,NE
Merrick Medical Center,Hospital,HCPCS 99234,Hospital observation care discharge,-,NE
Merrick Medical Center,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,-,NE
Merrick Medical Center,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,NE
Merrick Medical Center,Hospital,HCPCS 99224,"Subsequent observation care, typically 35 minutes per day",-,NE
Merrick Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,NE
Merrick Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,NE
Merrick Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,NE
Merrick Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,NE
Merrick Medical Center,Psychology,HCPCS 90853,Group psychotherapy,-,NE
Merrick Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,NE
Merrick Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,NE
Merrick Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,NE
Merrick Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,NE
Merrick Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,NE
Merrick Medical Center,Speech,HCPCS 92507,Speech Therapy,-,NE
Merrick Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,NE
Merrick Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,NE
Merrick Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,NE
Merrick Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,NE
Merrick Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,NE
Merrick Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,NE
Merrick Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,NE
Merrick Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,NE
Merrick Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,NE
Merrick Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,NE
Merrick Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,NE
Merrick Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,-,NE
Merrick Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,NE
Merrick Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,-,NE
Merrick Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,-,NE
Merrick Medical Center,Blood,HCPCS 85041,"Red blood count, automated test",-,NE
Merrick Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,NE
Merrick Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,NE
Merrick Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,-,NE
Merrick Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,NE
Merrick Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,NE
Merrick Medical Center,Chemistry,HCPCS 82140,Ammonia level,-,NE
Merrick Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,NE
Merrick Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,NE
Merrick Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,-,NE
Merrick Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,-,NE
Merrick Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,-,NE
