Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Toms River,Blood,HCPCS 85610,"Blood test, clotting time",$14.25,NJ
Encompass Health Rehabilitation Hospital of Toms River,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$24.75,NJ
Encompass Health Rehabilitation Hospital of Toms River,Blood,HCPCS 85027,"Complete blood count, automated",$21.00,NJ
Encompass Health Rehabilitation Hospital of Toms River,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$49.50,NJ
Encompass Health Rehabilitation Hospital of Toms River,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$27.00,NJ
Encompass Health Rehabilitation Hospital of Toms River,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$30.00,NJ
Encompass Health Rehabilitation Hospital of Toms River,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,NJ
Encompass Health Rehabilitation Hospital of Toms River,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$26.25,NJ
Encompass Health Rehabilitation Hospital of Toms River,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,NJ
Encompass Health Rehabilitation Hospital of Toms River,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,NJ
Encompass Health Rehabilitation Hospital of Toms River,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$8.25,NJ
Encompass Health Rehabilitation Hospital of Toms River,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,NJ
Encompass Health Rehabilitation Hospital of Toms River,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$553.50,NJ
Encompass Health Rehabilitation Hospital of Toms River,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,201.50",NJ
Encompass Health Rehabilitation Hospital of Toms River,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",$765.00,NJ
Encompass Health Rehabilitation Hospital of Toms River,MRI,HCPCS 72148,MRI lumbar spine without contrast material,$833.25,NJ
Encompass Health Rehabilitation Hospital of Toms River,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,201.50",NJ
Encompass Health Rehabilitation Hospital of Toms River,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",NJ
Encompass Health Rehabilitation Hospital of Toms River,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$237.75,NJ
Encompass Health Rehabilitation Hospital of Toms River,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,NJ
Encompass Health Rehabilitation Hospital of Toms River,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$202.50,NJ
