Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Hackensack Meridian Health Pascack Valley Medical Center,Abdomenal,MSDRG 343,Appendectomy (Inpatient),"$48,670.24",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),"$79,194.07",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,"$18,947.55",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy","$10,578.86",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Musculoskeletal,MSDRG 455,Bi-lateral (combined anterior/posterior) spinal fusion,"$140,922.15",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Musculoskeletal,MSDRG 470,Joint replacement (hip or knee),"$17,461.01",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Musculoskeletal,MSDRG 473,Spinal fusion (cervical),"$89,814.12",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Musculoskeletal,MSDRG 460,Spinal fusion (non-cervical),"$35,686.67",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Obstetrics,MSDRG 788,Cesarean Section (C-Section) Delivery of Child,"$48,531.77",NJ
Hackensack Meridian Health Pascack Valley Medical Center,Obstetrics,MSDRG 807,Vaginal Delivery of Child,"$27,331.20",NJ
