Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Alta Vista Regional Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,976.83",NM
Alta Vista Regional Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,942.06",NM
Alta Vista Regional Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$233.65,NM
Alta Vista Regional Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$354.60,NM
Alta Vista Regional Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$849.56,NM
Alta Vista Regional Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,003.34",NM
Alta Vista Regional Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,474.01",NM
Alta Vista Regional Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$424.46,NM
Alta Vista Regional Hospital,Speech,HCPCS 92507,Speech Therapy,$273.24,NM
Alta Vista Regional Hospital,Speech,HCPCS 92610,Swallow Evaluation,$418.81,NM
Alta Vista Regional Hospital,Speech,HCPCS 92526,Swallow Treatment,$324.00,NM
Alta Vista Regional Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$47.78,NM
Alta Vista Regional Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$38.07,NM
Alta Vista Regional Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$78.38,NM
Alta Vista Regional Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$134.37,NM
Alta Vista Regional Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$47.03,NM
Alta Vista Regional Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$81.79,NM
Alta Vista Regional Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$82.11,NM
Alta Vista Regional Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$58.23,NM
Alta Vista Regional Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$58.23,NM
Alta Vista Regional Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$87.34,NM
Alta Vista Regional Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$58.23,NM
Alta Vista Regional Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$586.78,NM
Alta Vista Regional Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$58.23,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$42.55,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$273.24,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$101.53,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$167.22,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$239.63,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82140,Ammonia level,$192.61,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$120.94,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$178.43,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$244.12,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$174.69,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$114.96,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$134.37,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$134.37,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$95.56,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$95.56,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84132,Blood potassium level,$66.44,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84295,Blood sodium level,$78.38,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$135.87,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$111.98,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82310,Calcium level,$101.53,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$101.53,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$135.87,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82465,Cholesterol level,$124.67,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$92.57,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$364.31,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$120.94,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$115.71,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$174.69,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$280.69,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$101.53,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$111.98,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$97.06,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$135.87,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$40.56,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$132.88,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$132.88,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$92.57,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$120.94,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$258.30,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$120.94,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$191.11,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,$347.13,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$92.57,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$95.56,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,$105.26,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83540,Iron level,$135.87,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$134.37,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$193.35,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$101.53,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$212.76,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83021,Liver function blood test panel,$51.50,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83735,Magnesium Level,$130.64,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$17.17,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$81.37,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83918,Organic acid level,$272.48,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83945,Oxalate level,$91.82,NM
Alta Vista Regional Hospital,Chemistry,HCPCS 83970,Parathormone,$624.09,NM
