Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Valley Hospital Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,406.34",NV
Valley Hospital Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$174.09,NV
Valley Hospital Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$273.70,NV
Valley Hospital Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$866.34,NV
Valley Hospital Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,132.63",NV
Valley Hospital Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,405.72",NV
Valley Hospital Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$816.45,NV
Valley Hospital Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$659.55,NV
Valley Hospital Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$656.95,NV
Valley Hospital Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$590.23,NV
Valley Hospital Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$135.90,NV
Valley Hospital Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$130.63,NV
Valley Hospital Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$183.36,NV
Valley Hospital Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$214.68,NV
Valley Hospital Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$212.76,NV
Valley Hospital Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$117.18,NV
Valley Hospital Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$57.34,NV
Valley Hospital Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$349.32,NV
Valley Hospital Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$748.80,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$146.72,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$145.86,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82140,Ammonia level,$208.29,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$284.29,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$201.32,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$511.78,NV
Valley Hospital Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$94.39,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$193.35,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$159.33,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$131.78,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$180.85,NV
Valley Hospital Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$138.44,NV
Valley Hospital Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$159.86,NV
Valley Hospital Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$131.22,NV
Valley Hospital Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$389.29,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$308.87,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$326.20,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$221.81,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$368.56,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$356.56,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$291.49,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$313.50,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$322.76,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$200.76,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$184.14,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$157.57,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$236.16,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$143.12,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$141.40,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$145.93,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83540,Iron level,$141.58,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$153.74,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$110.97,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$173.24,NV
Valley Hospital Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$64.46,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83918,Organic acid level,$45.72,NV
Valley Hospital Medical Center,Chemistry,HCPCS 83970,Parathormone,$522.62,NV
Valley Hospital Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$77.76,NV
