Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Desert Springs Hospital Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,417.13",OR
Desert Springs Hospital Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$183.40,OR
Desert Springs Hospital Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$262.80,OR
Desert Springs Hospital Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$855.39,OR
Desert Springs Hospital Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,193.42",OR
Desert Springs Hospital Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,552.68",OR
Desert Springs Hospital Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$699.04,OR
Desert Springs Hospital Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$502.88,OR
Desert Springs Hospital Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$650.60,OR
Desert Springs Hospital Medical Center,Speech,HCPCS 92507,Speech Therapy,$212.80,OR
Desert Springs Hospital Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$516.48,OR
Desert Springs Hospital Medical Center,Speech,HCPCS 92526,Swallow Treatment,$228.78,OR
Desert Springs Hospital Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$117.43,OR
Desert Springs Hospital Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$101.35,OR
Desert Springs Hospital Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$180.87,OR
Desert Springs Hospital Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$192.58,OR
Desert Springs Hospital Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$222.03,OR
Desert Springs Hospital Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$351.42,OR
Desert Springs Hospital Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$855.48,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82140,Ammonia level,$307.31,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$76.14,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$530.68,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$349.73,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$53.46,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$193.23,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$149.91,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$205.63,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$460.15,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$424.00,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$208.53,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$315.53,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$380.56,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$334.25,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$256.65,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$208.65,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$143.72,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$422.71,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$193.06,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83540,Iron level,$143.71,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$61.51,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$113.64,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$209.30,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$63.86,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83970,Parathormone,$352.75,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$56.21,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS A9270,Selenium (vitamin) level,$33.98,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$192.00,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$149.03,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82436,Urine chloride level,$146.14,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$156.28,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84133,Urine potassium level,$158.70,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 84300,Urine sodium level,$145.86,OR
Desert Springs Hospital Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$960.33,OR
Desert Springs Hospital Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$242.40,OR
Desert Springs Hospital Medical Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$312.29,OR
Desert Springs Hospital Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$167.63,OR
Desert Springs Hospital Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$152.42,OR
Desert Springs Hospital Medical Center,Immunology,HCPCS 86592,Syphilis Detection Test,$147.45,OR
Desert Springs Hospital Medical Center,Immunology,HCPCS 86360,"T cells; absolute CD4 and CD8 count, including ratio",$468.34,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",$366.94,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,$41.96,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87491,Chlamydia Test,$123.56,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87635,Covid-19 current infection test,$32.06,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87493,Detection test for clostridium difficile,$111.23,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87591,Detection Test for Neisseria Gonorrhoeae,$106.29,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,$60.54,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 87177,Smear for Parasites,$73.17,OR
Desert Springs Hospital Medical Center,Microbiology,HCPCS 86780,Treponema pallidum antibody test,$268.81,OR
