Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Kent County Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,638.00",RI
Kent County Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,276.00",RI
Kent County Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$271.60,RI
Kent County Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$776.30,RI
Kent County Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$970.20,RI
Kent County Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,642.90",RI
Kent County Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,989.40",RI
Kent County Memorial Hospital,Hospital,HCPCS 99234,Hospital observation care discharge,$105.00,RI
Kent County Memorial Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$87.50,RI
Kent County Memorial Hospital,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",$122.50,RI
Kent County Memorial Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$70.00,RI
Kent County Memorial Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$240.10,RI
Kent County Memorial Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$268.10,RI
Kent County Memorial Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$210.00,RI
Kent County Memorial Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$126.70,RI
Kent County Memorial Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$311.50,RI
Kent County Memorial Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$311.50,RI
Kent County Memorial Hospital,Psychology,HCPCS 90853,Group psychotherapy,$140.00,RI
Kent County Memorial Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$274.40,RI
Kent County Memorial Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$201.60,RI
Kent County Memorial Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$268.10,RI
Kent County Memorial Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$268.10,RI
Kent County Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$315.00,RI
Kent County Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,$181.30,RI
Kent County Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,$174.30,RI
Kent County Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,$165.20,RI
Kent County Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$33.60,RI
Kent County Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$36.40,RI
Kent County Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$24.50,RI
Kent County Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$53.20,RI
Kent County Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$30.10,RI
Kent County Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$36.40,RI
Kent County Memorial Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$16.80,RI
Kent County Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$35.00,RI
Kent County Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$28.70,RI
Kent County Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$23.10,RI
Kent County Memorial Hospital,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$73.50,RI
Kent County Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$52.50,RI
Kent County Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$469.70,RI
Kent County Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$139.30,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$158.20,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$23.10,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$55.30,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$69.30,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82140,Ammonia level,$60.20,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$32.90,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$60.20,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$57.40,RI
Kent County Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$49.70,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$66.50,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$23.10,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$18.20,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$23.10,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$21.70,RI
Kent County Memorial Hospital,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$13.30,RI
Kent County Memorial Hospital,Chemistry,HCPCS 84295,Blood sodium level,$23.10,RI
