Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Our Lady Of Fatima Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,120.51",RI
Our Lady Of Fatima Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$924.39,RI
Our Lady Of Fatima Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$924.39,RI
Our Lady Of Fatima Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$924.39,RI
Our Lady Of Fatima Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$924.39,RI
Our Lady Of Fatima Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$924.39,RI
Our Lady Of Fatima Hospital,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$152.43,RI
Our Lady Of Fatima Hospital,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$152.43,RI
Our Lady Of Fatima Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$152.43,RI
Our Lady Of Fatima Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$152.43,RI
Our Lady Of Fatima Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$152.43,RI
Our Lady Of Fatima Hospital,Psychology,HCPCS 90853,Group psychotherapy,$892.50,RI
Our Lady Of Fatima Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$107.10,RI
Our Lady Of Fatima Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$136.25,RI
Our Lady Of Fatima Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$136.25,RI
Our Lady Of Fatima Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$224.73,RI
Our Lady Of Fatima Hospital,Speech,HCPCS 92507,Speech Therapy,$156.83,RI
