Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Aiken Regional Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$582.04,SC
Aiken Regional Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,619.87",SC
Aiken Regional Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$90.26,SC
Aiken Regional Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$192.87,SC
Aiken Regional Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$369.98,SC
Aiken Regional Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$651.47,SC
Aiken Regional Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,063.54",SC
Aiken Regional Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$96.41,SC
Aiken Regional Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$86.46,SC
Aiken Regional Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$144.42,SC
Aiken Regional Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$668.96,SC
Aiken Regional Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$164.72,SC
Aiken Regional Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$178.59,SC
Aiken Regional Medical Center,Speech,HCPCS 92507,Speech Therapy,$118.96,SC
Aiken Regional Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$164.64,SC
Aiken Regional Medical Center,Speech,HCPCS 92526,Swallow Treatment,$64.64,SC
Aiken Regional Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$39.18,SC
Aiken Regional Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$40.53,SC
Aiken Regional Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$46.85,SC
Aiken Regional Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$153.49,SC
Aiken Regional Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$89.22,SC
Aiken Regional Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$103.51,SC
Aiken Regional Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$101.75,SC
Aiken Regional Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$86.34,SC
Aiken Regional Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$69.06,SC
Aiken Regional Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$390.74,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$37.96,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$102.41,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82140,Ammonia level,$85.86,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$115.20,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$263.87,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$236.93,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$54.81,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$67.17,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$57.29,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$69.37,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$65.08,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84132,Blood potassium level,$58.24,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$71.16,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$50.16,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$168.76,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82310,Calcium level,$24.30,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$139.01,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$90.03,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$97.60,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$100.17,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$83.94,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$133.32,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$96.83,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$133.38,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$91.94,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$121.62,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",$109.01,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$129.51,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$188.88,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$98.00,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$147.96,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$102.08,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83540,Iron level,$86.26,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$66.43,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$109.98,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$62.20,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$133.20,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83021,Liver function blood test panel,$97.78,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$73.35,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$101.53,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$80.63,SC
Aiken Regional Medical Center,Chemistry,HCPCS 83970,Parathormone,$125.32,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,$95.76,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$194.83,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$77.00,SC
Aiken Regional Medical Center,Chemistry,HCPCS A9270,Selenium (vitamin) level,$18.06,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$140.18,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$218.79,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$79.53,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",$82.37,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$91.20,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$43.84,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$49.28,SC
Aiken Regional Medical Center,Chemistry,HCPCS 84300,Urine sodium level,$65.52,SC
Aiken Regional Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$114.83,SC
Aiken Regional Medical Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$215.60,SC
Aiken Regional Medical Center,Immunology,HCPCS 86644,Analysis for antibody (IgM) to Cytomegalovirus (CMV),$80.40,SC
Aiken Regional Medical Center,Immunology,HCPCS 86701,Analysis for antibody to HIV -1 virus,$84.40,SC
Aiken Regional Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$198.82,SC
Aiken Regional Medical Center,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$128.22,SC
Aiken Regional Medical Center,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,$82.25,SC
Aiken Regional Medical Center,Immunology,HCPCS 86334,Immunofixation electrophoresis; serum,$44.24,SC
Aiken Regional Medical Center,Immunology,HCPCS 86140,Measurement C-reactive protein,$104.48,SC
Aiken Regional Medical Center,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,$251.55,SC
Aiken Regional Medical Center,Immunology,HCPCS 86255,Measurement of antibody to noninfectious agent,$143.58,SC
Aiken Regional Medical Center,Immunology,HCPCS 86708,Measurement of Hepatitis A antibody (IgM),$57.60,SC
Aiken Regional Medical Center,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,$76.26,SC
Aiken Regional Medical Center,Immunology,HCPCS 86431,Rheumatoid factor level,$121.75,SC
Aiken Regional Medical Center,Immunology,HCPCS 86308,Screening test for mononucleosis (mono),$132.38,SC
Aiken Regional Medical Center,Immunology,HCPCS 86580,Skin test for tuberculosis,$14.00,SC
Aiken Regional Medical Center,Immunology,HCPCS 86592,Syphilis Detection Test,$46.68,SC
Aiken Regional Medical Center,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,$72.43,SC
