Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Anmed Health,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$803.44,SC
Anmed Health,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$2,606.56",SC
Anmed Health,Emergency Care,HCPCS 99281,Emergency Level 1,$285.12,SC
Anmed Health,Emergency Care,HCPCS 99282,Emergency Level 2,$410.96,SC
Anmed Health,Emergency Care,HCPCS 99283,Emergency Level 3,$814.88,SC
Anmed Health,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,335.84",SC
Anmed Health,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,980.00",SC
Anmed Health,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$180.40,SC
Anmed Health,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$236.72,SC
Anmed Health,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$143.44,SC
Anmed Health,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$464.64,SC
Anmed Health,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,SC
Anmed Health,Psychology,HCPCS 90853,Group psychotherapy,$206.80,SC
Anmed Health,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,SC
Anmed Health,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$126.72,SC
Anmed Health,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$248.16,SC
Anmed Health,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$373.12,SC
Anmed Health,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$434.72,SC
Anmed Health,Speech,HCPCS 92507,Speech Therapy,$197.12,SC
Anmed Health,Speech,HCPCS 92610,Swallow Evaluation,$434.72,SC
Anmed Health,Speech,HCPCS 92526,Swallow Treatment,$259.60,SC
Anmed Health,Blood,HCPCS 85018,"Blood count, hemoglobin",$23.76,SC
Anmed Health,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$23.76,SC
Anmed Health,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$55.44,SC
Anmed Health,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$195.36,SC
Anmed Health,Blood,HCPCS 85610,"Blood test, clotting time",$51.04,SC
Anmed Health,Blood,HCPCS 85730,Coagulation assessment blood test,$28.16,SC
Anmed Health,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,SC
Anmed Health,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$43.12,SC
Anmed Health,Blood,HCPCS 85027,"Complete blood count, automated",$43.12,SC
Anmed Health,Blood,HCPCS 85008,Microscopic examination for white blood cells,-,SC
Anmed Health,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$43.12,SC
Anmed Health,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$219.12,SC
Anmed Health,Blood,HCPCS 85660,Red blood cell sickling measurement,$101.20,SC
Anmed Health,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$818.40,SC
Anmed Health,Blood,HCPCS 85041,"Red blood count, automated test",$23.76,SC
Anmed Health,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,SC
Anmed Health,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$311.52,SC
Anmed Health,Chemistry,HCPCS 82040,Albumin (protein) level,$71.28,SC
Anmed Health,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$156.64,SC
Anmed Health,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$143.44,SC
Anmed Health,Chemistry,HCPCS 82140,Ammonia level,$133.76,SC
Anmed Health,Chemistry,HCPCS 82150,Amylase (enzyme) level,$53.68,SC
