Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Cannon Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$713.81,SC
Cannon Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,277.55",SC
Cannon Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$440.00,SC
Cannon Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$614.24,SC
Cannon Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$810.48,SC
Cannon Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,368.40",SC
Cannon Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,855.04",SC
Cannon Memorial Hospital,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,$431.14,SC
Cannon Memorial Hospital,Hospital,HCPCS 99218,Hospital Observation per Hour,$31.68,SC
Cannon Memorial Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$291.40,SC
Cannon Memorial Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$395.41,SC
Cannon Memorial Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,SC
Cannon Memorial Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,SC
Cannon Memorial Hospital,Psychology,HCPCS 90853,Group psychotherapy,-,SC
Cannon Memorial Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,SC
Cannon Memorial Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,SC
Cannon Memorial Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,SC
Cannon Memorial Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,SC
Cannon Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,SC
Cannon Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,-,SC
Cannon Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,$439.08,SC
Cannon Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,$245.35,SC
Cannon Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$31.68,SC
Cannon Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$27.79,SC
Cannon Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$66.70,SC
Cannon Memorial Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$212.00,SC
Cannon Memorial Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$53.20,SC
Cannon Memorial Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$80.19,SC
Cannon Memorial Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,SC
Cannon Memorial Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$119.10,SC
Cannon Memorial Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$9.53,SC
Cannon Memorial Hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,-,SC
Cannon Memorial Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$27.79,SC
Cannon Memorial Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$245.35,SC
Cannon Memorial Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$49.28,SC
Cannon Memorial Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$179.52,SC
Cannon Memorial Hospital,Blood,HCPCS 85041,"Red blood count, automated test",-,SC
Cannon Memorial Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,-,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$233.44,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$35.73,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$134.19,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$106.40,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82140,Ammonia level,$112.75,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$81.78,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$114.34,SC
Cannon Memorial Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$255.67,SC
Cannon Memorial Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$127.83,SC
