Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Providence Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$133.67,SC
Providence Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$229.06,SC
Providence Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$432.38,SC
Providence Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,$674.92,SC
Providence Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,$906.42,SC
Providence Hospital,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$178.63,SC
Providence Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$261.53,SC
Providence Hospital,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$139.59,SC
Providence Hospital,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",$148.64,SC
Providence Hospital,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",$219.95,SC
Providence Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$153.57,SC
Providence Hospital,Speech,HCPCS 92507,Speech Therapy,$66.47,SC
Providence Hospital,Speech,HCPCS 92610,Swallow Evaluation,$107.50,SC
Providence Hospital,Speech,HCPCS 92526,Swallow Treatment,$87.10,SC
Providence Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",$4.94,SC
Providence Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$23.57,SC
Providence Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$16.45,SC
Providence Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$70.20,SC
Providence Hospital,Blood,HCPCS 85610,"Blood test, clotting time",$29.20,SC
Providence Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,$33.70,SC
Providence Hospital,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$13.03,SC
Providence Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$43.13,SC
Providence Hospital,Blood,HCPCS 85027,"Complete blood count, automated",$25.16,SC
Providence Hospital,Blood,HCPCS 85008,Microscopic examination for white blood cells,$9.89,SC
Providence Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$6.74,SC
Providence Hospital,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$32.35,SC
Providence Hospital,Blood,HCPCS 85660,Red blood cell sickling measurement,$13.48,SC
Providence Hospital,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$390.00,SC
Providence Hospital,Blood,HCPCS 85041,"Red blood count, automated test",$17.73,SC
Providence Hospital,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$57.36,SC
Providence Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$79.43,SC
Providence Hospital,Chemistry,HCPCS 82040,Albumin (protein) level,$10.03,SC
Providence Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$28.48,SC
Providence Hospital,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$40.12,SC
Providence Hospital,Chemistry,HCPCS 82140,Ammonia level,$36.90,SC
Providence Hospital,Chemistry,HCPCS 82150,Amylase (enzyme) level,$38.91,SC
Providence Hospital,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$42.52,SC
Providence Hospital,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$85.44,SC
Providence Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,$48.54,SC
Providence Hospital,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$29.28,SC
Providence Hospital,Chemistry,HCPCS 82248,Bilirubin level (Direct),$26.00,SC
Providence Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),$23.26,SC
Providence Hospital,Chemistry,HCPCS 82565,Blood creatinine level,$21.66,SC
Providence Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$22.46,SC
Providence Hospital,Chemistry,HCPCS 84295,Blood sodium level,$10.43,SC
Providence Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$15.64,SC
Providence Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$37.31,SC
Providence Hospital,Chemistry,HCPCS 82310,Calcium level,$25.67,SC
Providence Hospital,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$8.03,SC
Providence Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$47.34,SC
Providence Hospital,Chemistry,HCPCS 82465,Cholesterol level,$27.68,SC
Providence Hospital,Chemistry,HCPCS 82525,Copper level,$21.26,SC
Providence Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,$35.30,SC
Providence Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,$30.08,SC
Providence Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$28.88,SC
Providence Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$34.10,SC
Providence Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$78.22,SC
Providence Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$65.78,SC
Providence Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$50.14,SC
Providence Hospital,Chemistry,HCPCS 82746,Folic acid; serum,$30.49,SC
Providence Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$37.71,SC
Providence Hospital,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$21.66,SC
Providence Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$29.28,SC
Providence Hospital,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$39.71,SC
Providence Hospital,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$47.73,SC
Providence Hospital,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$24.07,SC
Providence Hospital,Chemistry,HCPCS 83718,HDL cholesterol level,$14.04,SC
Providence Hospital,Chemistry,HCPCS 83020,Hemoglobin Measurement,$56.56,SC
Providence Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$94.26,SC
Providence Hospital,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$54.95,SC
Providence Hospital,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$127.56,SC
Providence Hospital,Chemistry,HCPCS 83525,Insulin Measurement; Total,$26.08,SC
Providence Hospital,Chemistry,HCPCS 82330,Ionized Calcium,$24.47,SC
Providence Hospital,Chemistry,HCPCS 83540,Iron level,$28.48,SC
Providence Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$18.06,SC
Providence Hospital,Chemistry,HCPCS 83721,LDL cholesterol level,$18.06,SC
Providence Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$37.31,SC
Providence Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$42.12,SC
Providence Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$36.50,SC
Providence Hospital,Chemistry,HCPCS 83021,Liver function blood test panel,$29.64,SC
Providence Hospital,Chemistry,HCPCS 83735,Magnesium Level,$28.48,SC
Providence Hospital,Chemistry,HCPCS 82542,Mass spectrometry,$39.58,SC
Providence Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$26.88,SC
Providence Hospital,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$21.64,SC
Providence Hospital,Chemistry,HCPCS 83945,Oxalate level,$25.28,SC
