Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Avera Queen of Peace Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,SD
Avera Queen of Peace Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,SD
Avera Queen of Peace Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,SD
Avera Queen of Peace Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,SD
Avera Queen of Peace Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,SD
Avera Queen of Peace Hospital,Speech,HCPCS 92507,Speech Therapy,-,SD
Avera Queen of Peace Hospital,Speech,HCPCS 92610,Swallow Evaluation,-,SD
Avera Queen of Peace Hospital,Speech,HCPCS 92526,Swallow Treatment,-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,SD
Avera Queen of Peace Hospital,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82140,Ammonia level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82565,Blood creatinine level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84681,C-peptide (protein) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82746,Folic acid; serum,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82784,Gammaglobulin Measurement,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82330,Ionized Calcium,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83735,Magnesium Level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83883,"Nephelometry, test method using light",-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83970,Parathormone,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84403,Testosterone (hormone) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84402,Testosterone Level; Free,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84156,"Total Protein Level, Urine",-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 84550,"Uric acid level, blood",-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,-,SD
Avera Queen of Peace Hospital,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86694,Analysis for antibody to Herpes simplex virus,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86706,Hepatitis B surface antibody measurement,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86140,Measurement C-reactive protein,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86003,Measurement of antibody (IgE) to allergic substance,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86376,Microsomal Antibodies Measurement,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86431,Rheumatoid factor level,-,SD
Avera Queen of Peace Hospital,Immunology,HCPCS 86800,Thyroglobulin (thyroid protein) antibody measurement,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87070,"Bacterial Culture, any source ",-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87086,Bacterial urine culture; quantitative colony count,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87491,Chlamydia Test,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87493,Detection test for clostridium difficile,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87497,"Detection test for cytomegalovirus, quantification",-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87536,"Detection test for HIV-1 virus, quantification",-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87517,Hepatitis B Detection,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 86735,Mumps virus antibody test,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 86747,Parvovirus antibody test,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 86765,Rubeola virus antibody test,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87177,Smear for Parasites,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 87045,Stool Culture,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 86780,Treponema pallidum antibody test,-,SD
Avera Queen of Peace Hospital,Microbiology,HCPCS 86787,Varicella-zoster virus antibody test,-,SD
Avera Queen of Peace Hospital,Molecular pathology,HCPCS 81256,Gene analysis (hemochromatosis) common variants,-,SD
Avera Queen of Peace Hospital,Organ or Disease Oriented Panels,HCPCS 80074,Acute hepatitis panel,-,SD
Avera Queen of Peace Hospital,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,-,SD
Avera Queen of Peace Hospital,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",-,SD
Avera Queen of Peace Hospital,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",-,SD
Avera Queen of Peace Hospital,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,-,SD
Avera Queen of Peace Hospital,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,-,SD
Avera Queen of Peace Hospital,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80299,Cortisol (hormone) measurement,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80162,Digoxin level,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80177,Levetiracetam level,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80178,Lithium Level,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80185,Phenytoin level,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80197,Tacrolimus Level,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80164,Valproic acid level,-,SD
Avera Queen of Peace Hospital,Therapeutic Drug Assays,HCPCS 80202,Vancomycin (antibiotic) level,-,SD
Avera Queen of Peace Hospital,Transfusion,HCPCS 86850,Screening test for red blood cell (RBC) antibodies,-,SD
Avera Queen of Peace Hospital,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",-,SD
Avera Queen of Peace Hospital,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",-,SD
Avera Queen of Peace Hospital,Urinalysis,HCPCS 81025,Urine Pregnancy Test,-,SD
Avera Queen of Peace Hospital,Cardiovascular,HCPCS 93017,"Cardiovascular stress test, without interpretation and report",-,SD
Avera Queen of Peace Hospital,Cardiovascular,HCPCS 93005,"Electrocardiogram, tracing only, without interpretation and report",-,SD
Avera Queen of Peace Hospital,Cardiovascular,HCPCS 93226,Holter Testing - 48-Hour EKG,-,SD
Avera Queen of Peace Hospital,Pulmonary,HCPCS 94010,Spirometry - breathing test,-,SD
Avera Queen of Peace Hospital,Sleep,HCPCS 95810,Sleep study,-,SD
Avera Queen of Peace Hospital,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,SD
Avera Queen of Peace Hospital,Breast,HCPCS 77067,Mammogram Screening,-,SD
Avera Queen of Peace Hospital,Breast,HCPCS 77066,Mammography of both breasts,-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,SD
Avera Queen of Peace Hospital,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",-,SD
Avera Queen of Peace Hospital,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 72146,MRI chest spine without contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 72148,MRI lumbar spine without contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 72141,MRI neck spine without contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 72156,MRI neck spine without & with contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 70553,MRI scan of brain before and after contrast,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,-,SD
Avera Queen of Peace Hospital,MRI,HCPCS 73721,MRI scan of leg joint,-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76506,Ultrasound Blood Flow Outside the Brain,-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76942,Ultrasound guidance for biopsy,-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76857,Ultrasound of pelvis,-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",-,SD
Avera Queen of Peace Hospital,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",-,SD
Avera Queen of Peace Hospital,Chest,HCPCS 71046,X-ray of chest; 2 Views,-,SD
Avera Queen of Peace Hospital,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",-,SD
Avera Queen of Peace Hospital,Head and Neck,HCPCS 77076,X-ray of jaw joints on both sides of the face,-,SD
Avera Queen of Peace Hospital,Head and Neck,HCPCS 70360,X-ray of neck soft tissue,-,SD
Avera Queen of Peace Hospital,Head and Neck,HCPCS 70260,"X-ray of skull, complete, minimum of 4 views",-,SD
Avera Queen of Peace Hospital,Hip and Pelvis,HCPCS 73522,"X-ray Both Hips and Pelvis, 3-4 Views",-,SD
Avera Queen of Peace Hospital,Hip and Pelvis,HCPCS 73502,"X-ray Hip and Pelvis, 2 Views",-,SD
Avera Queen of Peace Hospital,Hip and Pelvis,HCPCS 72170,"X-ray Pelvis, 1-2 Views",-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73600,"X-ray Ankle, 2 Views",-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73610,"X-ray Ankle, 3 Views",-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73565,X-ray Both Knees,-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73630,X-ray exam of foot,-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73562,"X-ray exam of knee, 3 views",-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73620,"X-ray Foot, 2 Views",-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73560,"X-ray Knee, 1-2 Views",-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73564,"X-ray Knee, 4 or More Views",-,SD
Avera Queen of Peace Hospital,Lower Limbs,HCPCS 73590,"X-ray Lower Leg, 2 Views",-,SD
Avera Queen of Peace Hospital,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",-,SD
Avera Queen of Peace Hospital,Spine,HCPCS 72100,"X-ray Lower Sacral Spine, 2 or 3 views",-,SD
Avera Queen of Peace Hospital,Spine,HCPCS 72040,"X-ray Neck Spine, 2-3 Views",-,SD
Avera Queen of Peace Hospital,Upper Limbs,HCPCS 73080,"X-ray Elbow, 3 Views",-,SD
