Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Avera Sacred Heart Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,SD
Avera Sacred Heart Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,SD
Avera Sacred Heart Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,SD
Avera Sacred Heart Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,SD
Avera Sacred Heart Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,SD
Avera Sacred Heart Hospital,Speech,HCPCS 92507,Speech Therapy,-,SD
Avera Sacred Heart Hospital,Blood,HCPCS 85610,"Blood test, clotting time",-,SD
Avera Sacred Heart Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,SD
Avera Sacred Heart Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,SD
Avera Sacred Heart Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82140,Ammonia level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 84439,Assay of free thyroxine,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82565,Blood creatinine level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82947,Blood glucose (sugar) level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82310,Calcium level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82533,Cortisol Measurement,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",-,SD
Avera Sacred Heart Hospital,Chemistry,HCPCS 83735,Magnesium Level,-,SD
