Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Avera St. Mary's Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,-,SD
Avera St. Mary's Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,-,SD
Avera St. Mary's Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,-,SD
Avera St. Mary's Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,-,SD
Avera St. Mary's Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,-,SD
Avera St. Mary's Hospital,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,SD
Avera St. Mary's Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,SD
Avera St. Mary's Hospital,Speech,HCPCS 92507,Speech Therapy,-,SD
Avera St. Mary's Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,SD
Avera St. Mary's Hospital,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,SD
Avera St. Mary's Hospital,Blood,HCPCS 85730,Coagulation assessment blood test,-,SD
Avera St. Mary's Hospital,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,SD
Avera St. Mary's Hospital,Blood,HCPCS 85027,"Complete blood count, automated",-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 82247,Bilirubin level (Total),-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 82565,Blood creatinine level,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 84295,Blood sodium level,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 82310,Calcium level,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 82728,Ferritin (blood protein) level,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 83001,"Gonadotropin, chorionic (reproductive hormone) level",-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 83520,IgE (immune system protein) level,-,SD
Avera St. Mary's Hospital,Chemistry,HCPCS 83550,Iron Binding Capacity,-,SD
