Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Baptist Mem Hospital Huntingdon,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$484.89,TN
Baptist Mem Hospital Huntingdon,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$798.21,TN
Baptist Mem Hospital Huntingdon,Emergency Care,HCPCS 99281,Emergency Level 1,$90.93,TN
Baptist Mem Hospital Huntingdon,Emergency Care,HCPCS 99282,Emergency Level 2,$117.81,TN
Baptist Mem Hospital Huntingdon,Emergency Care,HCPCS 99283,Emergency Level 3,$193.20,TN
Baptist Mem Hospital Huntingdon,Emergency Care,HCPCS 99284,Emergency Level 4,$539.28,TN
Baptist Mem Hospital Huntingdon,Emergency Care,HCPCS 99285,Emergency Level 5,$844.20,TN
Baptist Mem Hospital Huntingdon,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$75.60,TN
Baptist Mem Hospital Huntingdon,Psychology,HCPCS 90853,Group psychotherapy,$26.04,TN
Baptist Mem Hospital Huntingdon,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$78.75,TN
Baptist Mem Hospital Huntingdon,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$59.01,TN
Baptist Mem Hospital Huntingdon,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$70.77,TN
Baptist Mem Hospital Huntingdon,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$107.94,TN
Baptist Mem Hospital Huntingdon,Speech,HCPCS 92507,Speech Therapy,$104.37,TN
Baptist Mem Hospital Huntingdon,Speech,HCPCS 92610,Swallow Evaluation,$102.69,TN
Baptist Mem Hospital Huntingdon,Speech,HCPCS 92526,Swallow Treatment,$148.05,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85018,"Blood count, hemoglobin",$17.43,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$17.43,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$39.69,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$89.25,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85610,"Blood test, clotting time",$29.61,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85730,Coagulation assessment blood test,$29.61,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$30.66,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85027,"Complete blood count, automated",$26.46,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$28.56,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$171.57,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS 85660,Red blood cell sickling measurement,$5.46,TN
Baptist Mem Hospital Huntingdon,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$182.49,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$50.82,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$70.35,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82040,Albumin (protein) level,$23.31,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$30.87,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$50.40,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82140,Ammonia level,$38.01,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82150,Amylase (enzyme) level,$41.79,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$60.06,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$87.78,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 84439,Assay of free thyroxine,$35.91,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$33.60,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82248,Bilirubin level (Direct),$37.38,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82247,Bilirubin level (Total),$38.01,TN
Baptist Mem Hospital Huntingdon,Chemistry,HCPCS 82565,Blood creatinine level,$39.27,TN
