Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Blount Memorial Hospital,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,TN
Blount Memorial Hospital,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,594.51",TN
Blount Memorial Hospital,Emergency Care,HCPCS 99281,Emergency Level 1,$122.66,TN
Blount Memorial Hospital,Emergency Care,HCPCS 99282,Emergency Level 2,$182.47,TN
Blount Memorial Hospital,Emergency Care,HCPCS 99283,Emergency Level 3,$510.06,TN
Blount Memorial Hospital,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,381.75",TN
Blount Memorial Hospital,Emergency Care,HCPCS 99285,Emergency Level 5,"$2,042.08",TN
Blount Memorial Hospital,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,TN
Blount Memorial Hospital,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,TN
Blount Memorial Hospital,Psychology,HCPCS 90853,Group psychotherapy,"$1,046.92",TN
Blount Memorial Hospital,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,TN
Blount Memorial Hospital,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,TN
Blount Memorial Hospital,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,TN
Blount Memorial Hospital,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,TN
Blount Memorial Hospital,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,TN
Blount Memorial Hospital,Speech,HCPCS 92507,Speech Therapy,-,TN
Blount Memorial Hospital,Speech,HCPCS 92610,Swallow Evaluation,-,TN
Blount Memorial Hospital,Speech,HCPCS 92526,Swallow Treatment,-,TN
Blount Memorial Hospital,Blood,HCPCS 85018,"Blood count, hemoglobin",-,TN
Blount Memorial Hospital,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,TN
Blount Memorial Hospital,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$11.88,TN
