Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Children's Hospital at Erlanger,Hospital,HCPCS 99234,Hospital observation care discharge,-,TN
Children's Hospital at Erlanger,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,-,TN
Children's Hospital at Erlanger,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,TN
Children's Hospital at Erlanger,Hospital,HCPCS 99218,Hospital Observation per Hour,-,TN
Children's Hospital at Erlanger,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",-,TN
Children's Hospital at Erlanger,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),-,TN
Children's Hospital at Erlanger,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),-,TN
Children's Hospital at Erlanger,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",-,TN
Children's Hospital at Erlanger,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",-,TN
Children's Hospital at Erlanger,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",-,TN
Children's Hospital at Erlanger,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,TN
Children's Hospital at Erlanger,Psychology,HCPCS 90853,Group psychotherapy,-,TN
Children's Hospital at Erlanger,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,-,TN
Children's Hospital at Erlanger,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,TN
Children's Hospital at Erlanger,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",-,TN
Children's Hospital at Erlanger,Psychology,HCPCS 90837,"Psychotherapy, 60 min",-,TN
Children's Hospital at Erlanger,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,TN
Children's Hospital at Erlanger,Blood,HCPCS 85008,Microscopic examination for white blood cells,-,TN
Children's Hospital at Erlanger,Blood,HCPCS 85041,"Red blood count, automated test",-,TN
Children's Hospital at Erlanger,Chemistry,HCPCS 83020,Hemoglobin Measurement,-,TN
Children's Hospital at Erlanger,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,-,TN
Children's Hospital at Erlanger,Immunology,HCPCS 86318,Covid-19 antibody test,-,TN
Children's Hospital at Erlanger,Immunology,HCPCS 86140,Measurement C-reactive protein,-,TN
Children's Hospital at Erlanger,Microbiology,HCPCS 87147,Analysis for antibody bordetella (respiratory bacteria),-,TN
Children's Hospital at Erlanger,Microbiology,HCPCS 87389,HIV antigen and antibodies detection test,-,TN
Children's Hospital at Erlanger,Microbiology,HCPCS 87230,Microbial toxin or antitoxin assay,-,TN
Children's Hospital at Erlanger,Organ or Disease Oriented Panels,HCPCS 80055,Obstetric blood test panel,-,TN
Children's Hospital at Erlanger,Transfusion,HCPCS 86906,Screening test for compatible blood unit,-,TN
Children's Hospital at Erlanger,Cardiovascular,HCPCS 93015,"Cardiovascular stress test, with interpretation and report",-,TN
Children's Hospital at Erlanger,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",-,TN
Children's Hospital at Erlanger,Cardiovascular,HCPCS 93010,Routine 12 Lead EKG with report,-,TN
Children's Hospital at Erlanger,Head and Neck,HCPCS 77076,X-ray of jaw joints on both sides of the face,-,TN
Children's Hospital at Erlanger,Abdomenal,MSDRG 343,Appendectomy (Inpatient),-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 52204,Biopsy of the bladder using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 47562,Cholecystectomy,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 47563,Cholecystectomy with cholangiography,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 52353,Crushing of stone in urinary duct (ureter) using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 52356,Crushing of stone in urinary duct (ureter) with stent using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 52000,Diagnostic examination of the bladder and bladder canal (urethra) using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 49505,Inguinal hernia repair (age over 5),-,TN
Children's Hospital at Erlanger,Abdomenal,MSDRG 419,Laparoscopic cholecystectomy (Inpatient),-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 52648,Laser vaporization of prostate using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 44970,Removal of appendix using an endoscope (Outpatient),-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 52601,Removal of prostate through bladder canal (urethra) using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 49650,Repair of groin hernia using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 49654,Repair of incisional hernia using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 49653,Repair of trapped hernia using an endoscope,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 50590,Shock wave crushing of kidney stones,-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 49507,Trapped inguinal hernia repair (age over 5),-,TN
Children's Hospital at Erlanger,Abdomenal,HCPCS 49585,Umbilical hernia repair (age over 5),-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19101,Biopsy of breast,-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19325,Breast enlargement using prosthetic implant,-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19125,Excision of breast lesion,-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19120,Excision of cyst of breast,-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19301,Partial removal of breast,-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19318,Reduction mammaplasty,-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19307,Removal of breast and underarm lymph nodes,-,TN
Children's Hospital at Erlanger,Breast,HCPCS 19303,Total removal of breast,-,TN
Children's Hospital at Erlanger,Cardiac,MSDRG 227,Cardiac defibrillator implant without cardiac catherization,-,TN
Children's Hospital at Erlanger,Cardiac,MSDRG 216,Cardiac valve procedure,-,TN
Children's Hospital at Erlanger,Cardiac,MSDRG 234,Coronary bypass with cardiac catheterization,-,TN
Children's Hospital at Erlanger,Cardiac,MSDRG 236,Coronary bypass without cardiac catheterization,-,TN
Children's Hospital at Erlanger,Cardiac,HCPCS 33249,Defibrillator complete system,-,TN
Children's Hospital at Erlanger,Cardiac,HCPCS 33240,Defibrillator generator,-,TN
Children's Hospital at Erlanger,Cardiac,MSDRG 247,Implant drug-eluting stent,-,TN
Children's Hospital at Erlanger,Cardiac,MSDRG 244,Implant Permanent Cardiac Pacemaker,-,TN
Children's Hospital at Erlanger,Cardiac,HCPCS 33228,Replacement of dual lead permanent pacemaker pulse generator,-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 45378,"Colonoscopy, diagnostic",-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 45380,"Colonoscopy, with biopsy",-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 45384,"Colonoscopy, with tumor removal",-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 45385,"Colonoscopy, with tumor removal (SNARE)",-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 43235,EGD,-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 43239,EGD and biopsy,-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 43775,Gastric Sleeve (Outpatient),-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 46255,Removal of internal and external hemorrhoids,-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 46260,Removal of multiple internal and external hemorrhoid groups,-,TN
Children's Hospital at Erlanger,Digestive,HCPCS 45391,Ultrasound of lower large bowel using an endoscope,-,TN
Children's Hospital at Erlanger,Female Reproductive,MSDRG 743,"Uterine and adnexa procedures, non-malignancy",-,TN
Children's Hospital at Erlanger,Foot,HCPCS 28296,Bunionectomy or repair of toe deformities,-,TN
Children's Hospital at Erlanger,General,HCPCS 55866,Prostatectomy,-,TN
Children's Hospital at Erlanger,General,HCPCS 60240,Removal of thyroid,-,TN
Children's Hospital at Erlanger,Head,HCPCS 69436,Create eardrum opening,-,TN
Children's Hospital at Erlanger,Head,HCPCS 69930,Implantation of cochlear device,-,TN
