Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Claiborne Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$107.10,TN
Claiborne Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$203.70,TN
Claiborne Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$428.10,TN
Claiborne Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,035.30",TN
Claiborne Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,462.20",TN
Claiborne Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$256.80,TN
Claiborne Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$273.60,TN
Claiborne Medical Center,Speech,HCPCS 92507,Speech Therapy,$505.50,TN
Claiborne Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$608.40,TN
Claiborne Medical Center,Speech,HCPCS 92526,Swallow Treatment,$914.70,TN
Claiborne Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$5.10,TN
Claiborne Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$4.50,TN
Claiborne Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$10.20,TN
Claiborne Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$18.90,TN
Claiborne Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$8.40,TN
Claiborne Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$12.90,TN
Claiborne Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$24.60,TN
Claiborne Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$14.10,TN
Claiborne Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$7.50,TN
Claiborne Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$675.00,TN
Claiborne Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$23.70,TN
Claiborne Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$4.50,TN
Claiborne Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$11.40,TN
Claiborne Medical Center,Chemistry,HCPCS 82140,Ammonia level,$31.50,TN
Claiborne Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$14.10,TN
Claiborne Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$14.10,TN
Claiborne Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$19.50,TN
Claiborne Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$4.80,TN
Claiborne Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$10.80,TN
Claiborne Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$4.80,TN
Claiborne Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$8.10,TN
Claiborne Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$9.90,TN
Claiborne Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$36.30,TN
Claiborne Medical Center,Chemistry,HCPCS 82310,Calcium level,$11.10,TN
Claiborne Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$10.50,TN
Claiborne Medical Center,Chemistry,HCPCS 82525,Copper level,$9.60,TN
Claiborne Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$13.20,TN
Claiborne Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$14.10,TN
Claiborne Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$32.40,TN
Claiborne Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$17.10,TN
Claiborne Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$18.90,TN
Claiborne Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$29.40,TN
Claiborne Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$31.80,TN
Claiborne Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$6.90,TN
Claiborne Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$15.60,TN
Claiborne Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$21.00,TN
Claiborne Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$6.60,TN
Claiborne Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$9.90,TN
Claiborne Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$8.70,TN
Claiborne Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$18.90,TN
Claiborne Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$19.20,TN
Claiborne Medical Center,Chemistry,HCPCS 83520,IgE (immune system protein) level,$113.10,TN
Claiborne Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$7.50,TN
Claiborne Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$18.90,TN
Claiborne Medical Center,Chemistry,HCPCS 83540,Iron level,$14.10,TN
Claiborne Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$12.90,TN
Claiborne Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,$5.70,TN
Claiborne Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$15.00,TN
Claiborne Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$4.50,TN
Claiborne Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$8.40,TN
Claiborne Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$14.40,TN
Claiborne Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$7.80,TN
Claiborne Medical Center,Chemistry,HCPCS 83970,Parathormone,$63.00,TN
Claiborne Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$94.65,TN
Claiborne Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$8.40,TN
Claiborne Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$13.20,TN
Claiborne Medical Center,Chemistry,HCPCS A9270,Selenium (vitamin) level,"$1,651.80",TN
Claiborne Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$9.60,TN
Claiborne Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$8.70,TN
Claiborne Medical Center,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement",$4.80,TN
Claiborne Medical Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$39.30,TN
Claiborne Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$7.20,TN
Claiborne Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$25.20,TN
Claiborne Medical Center,Chemistry,HCPCS 84166,Troponin (protein) analysis,$24.90,TN
Claiborne Medical Center,Chemistry,HCPCS 84550,"Uric acid level, blood",$9.60,TN
Claiborne Medical Center,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$6.60,TN
Claiborne Medical Center,Chemistry,HCPCS 82306,Vitamin D; 25 hydroxy,$18.30,TN
Claiborne Medical Center,Chemistry,HCPCS 84630,Zinc level,$11.40,TN
Claiborne Medical Center,Immunology,HCPCS 86618,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria),$13.50,TN
Claiborne Medical Center,Immunology,HCPCS 86803,Confirmation test for Hepatitis C antibody,$7.50,TN
Claiborne Medical Center,Immunology,HCPCS 86225,Deoxyribonucleic acid (DNA) antibody; native or double stranded,$7.50,TN
Claiborne Medical Center,Immunology,HCPCS 86704,Hepatitis B core antibody (IgM) measurement,$7.50,TN
Claiborne Medical Center,Immunology,HCPCS 86317,Immunoassay for infectious agent antibody,$17.10,TN
Claiborne Medical Center,Immunology,HCPCS 86334,Immunologic analysis technique on body fluid; Immunofixation electrophoresis,$18.00,TN
