Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Chattanooga,Blood,HCPCS 85610,"Blood test, clotting time",$13.50,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$12.75,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Blood,HCPCS 85027,"Complete blood count, automated",$12.75,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$31.50,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$15.00,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$18.00,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$12.75,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$18.00,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,TN
Encompass Health Rehabilitation Hospital of Chattanooga,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$1,440.75",TN
Encompass Health Rehabilitation Hospital of Chattanooga,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$2,314.50",TN
Encompass Health Rehabilitation Hospital of Chattanooga,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,420.50",TN
Encompass Health Rehabilitation Hospital of Chattanooga,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$2,034.75",TN
Encompass Health Rehabilitation Hospital of Chattanooga,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$3,099.00",TN
Encompass Health Rehabilitation Hospital of Chattanooga,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",TN
Encompass Health Rehabilitation Hospital of Chattanooga,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$168.00,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,TN
Encompass Health Rehabilitation Hospital of Chattanooga,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$191.25,TN
