Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Leconte Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$40.02,TN
Leconte Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$82.27,TN
Leconte Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$247.08,TN
Leconte Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$710.65,TN
Leconte Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$880.08,TN
Leconte Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$591.60,TN
Leconte Medical Center,Speech,HCPCS 92507,Speech Therapy,$347.13,TN
Leconte Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$276.66,TN
Leconte Medical Center,Speech,HCPCS 92526,Swallow Treatment,$391.79,TN
Leconte Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$6.96,TN
Leconte Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$6.96,TN
Leconte Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$18.27,TN
Leconte Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$8.12,TN
Leconte Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$12.47,TN
Leconte Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$23.78,TN
Leconte Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$18.85,TN
Leconte Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$7.25,TN
Leconte Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$27.55,TN
Leconte Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$506.56,TN
Leconte Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$20.59,TN
Leconte Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$9.86,TN
Leconte Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$10.73,TN
Leconte Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$9.57,TN
Leconte Medical Center,Chemistry,HCPCS 82140,Ammonia level,$30.45,TN
Leconte Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$13.63,TN
Leconte Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$11.31,TN
Leconte Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$18.85,TN
Leconte Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$8.99,TN
Leconte Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$4.64,TN
Leconte Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$4.35,TN
Leconte Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$10.15,TN
Leconte Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$7.83,TN
Leconte Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$10.15,TN
Leconte Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$4.64,TN
