Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Lincoln Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,185.82",TN
Lincoln Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$94.46,TN
Lincoln Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$154.66,TN
Lincoln Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$296.87,TN
Lincoln Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$532.30,TN
Lincoln Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$707.40,TN
Lincoln Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$175.42,TN
Lincoln Medical Center,Speech,HCPCS 92507,Speech Therapy,$108.73,TN
Lincoln Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$187.08,TN
Lincoln Medical Center,Speech,HCPCS 92526,Swallow Treatment,$111.07,TN
Lincoln Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$2.08,TN
Lincoln Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$3.11,TN
Lincoln Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$29.58,TN
Lincoln Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$71.62,TN
Lincoln Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$28.03,TN
Lincoln Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$51.90,TN
Lincoln Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$47.23,TN
Lincoln Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$22.84,TN
Lincoln Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$99.65,TN
Lincoln Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$266.77,TN
Lincoln Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$47.23,TN
Lincoln Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$19.72,TN
Lincoln Medical Center,Chemistry,HCPCS 82140,Ammonia level,$47.75,TN
Lincoln Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$66.43,TN
Lincoln Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$124.04,TN
Lincoln Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$39.96,TN
Lincoln Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$25.43,TN
Lincoln Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$26.47,TN
Lincoln Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$28.24,TN
Lincoln Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$26.06,TN
Lincoln Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$3.63,TN
Lincoln Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$59.17,TN
Lincoln Medical Center,Chemistry,HCPCS 82310,Calcium level,$21.80,TN
Lincoln Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$71.10,TN
Lincoln Medical Center,Chemistry,HCPCS 82525,Copper level,$51.38,TN
Lincoln Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$24.91,TN
Lincoln Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$60.20,TN
