Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Parkwest Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$41.40,TN
Parkwest Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$82.91,TN
Parkwest Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$254.70,TN
Parkwest Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$1,063.83",TN
Parkwest Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,138.75",TN
Parkwest Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$82.50,TN
Parkwest Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$90.00,TN
Parkwest Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$75.00,TN
Parkwest Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$119.10,TN
Parkwest Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$104.70,TN
Parkwest Medical Center,Psychology,HCPCS 90853,Group psychotherapy,$199.50,TN
Parkwest Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$75.00,TN
Parkwest Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$82.20,TN
Parkwest Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$111.00,TN
Parkwest Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$115.50,TN
Parkwest Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,"$3,915.88",TN
Parkwest Medical Center,Speech,HCPCS 92507,Speech Therapy,$494.10,TN
Parkwest Medical Center,Speech,HCPCS 92610,Swallow Evaluation,"$3,647.68",TN
Parkwest Medical Center,Speech,HCPCS 92526,Swallow Treatment,"$5,350.31",TN
Parkwest Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$7.20,TN
Parkwest Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$7.20,TN
Parkwest Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$8.40,TN
Parkwest Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$18.00,TN
