Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Regional One Health Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,TN
Regional One Health Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,TN
Regional One Health Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,-,TN
Regional One Health Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,-,TN
Regional One Health Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,-,TN
Regional One Health Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,-,TN
Regional One Health Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,-,TN
Regional One Health Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),-,TN
Regional One Health Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),-,TN
Regional One Health Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,TN
Regional One Health Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,TN
Regional One Health Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,TN
Regional One Health Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,-,TN
Regional One Health Medical Center,Speech,HCPCS 92507,Speech Therapy,-,TN
Regional One Health Medical Center,Speech,HCPCS 92610,Swallow Evaluation,-,TN
Regional One Health Medical Center,Speech,HCPCS 92526,Swallow Treatment,-,TN
Regional One Health Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,TN
Regional One Health Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,TN
Regional One Health Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,-,TN
Regional One Health Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,TN
Regional One Health Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,-,TN
Regional One Health Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,-,TN
Regional One Health Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",-,TN
Regional One Health Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,TN
Regional One Health Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,-,TN
Regional One Health Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,-,TN
Regional One Health Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,-,TN
Regional One Health Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",-,TN
Regional One Health Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,-,TN
Regional One Health Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,-,TN
Regional One Health Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,TN
Regional One Health Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",-,TN
Regional One Health Medical Center,Chemistry,HCPCS 82140,Ammonia level,-,TN
Regional One Health Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,TN
Regional One Health Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,-,TN
