Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Southern Hills Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$1,840.63",TN
Southern Hills Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$3,820.71",TN
Southern Hills Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$806.62,TN
Southern Hills Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$942.72,TN
Southern Hills Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,432.34",TN
Southern Hills Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,453.09",TN
Southern Hills Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,188.35",TN
Southern Hills Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$938.40,TN
Southern Hills Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$938.40,TN
Southern Hills Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$688.15,TN
Southern Hills Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$749.36,TN
Southern Hills Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$144.13,TN
Southern Hills Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$142.53,TN
Southern Hills Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$653.42,TN
Southern Hills Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$365.14,TN
Southern Hills Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$377.96,TN
Southern Hills Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$430.79,TN
Southern Hills Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$393.97,TN
Southern Hills Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$230.60,TN
Southern Hills Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$837.70,TN
Southern Hills Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,"$1,053.81",TN
Southern Hills Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$829.60,TN
Southern Hills Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$168.15,TN
Southern Hills Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$393.97,TN
Southern Hills Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$639.00,TN
Southern Hills Medical Center,Chemistry,HCPCS 82140,Ammonia level,$238.62,TN
Southern Hills Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$566.95,TN
Southern Hills Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$701.46,TN
Southern Hills Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$358.73,TN
Southern Hills Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,$341.11,TN
Southern Hills Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$746.30,TN
Southern Hills Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$376.35,TN
Southern Hills Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$374.76,TN
Southern Hills Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,$187.38,TN
Southern Hills Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$262.65,TN
Southern Hills Medical Center,Chemistry,HCPCS 84295,Blood sodium level,$280.26,TN
Southern Hills Medical Center,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$377.96,TN
Southern Hills Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$285.07,TN
Southern Hills Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$342.72,TN
Southern Hills Medical Center,Chemistry,HCPCS 82310,Calcium level,$132.92,TN
Southern Hills Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$230.60,TN
Southern Hills Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$470.85,TN
Southern Hills Medical Center,Chemistry,HCPCS 82465,Cholesterol level,$403.59,TN
Southern Hills Medical Center,Chemistry,HCPCS 82525,Copper level,$403.59,TN
Southern Hills Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$331.50,TN
Southern Hills Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,$850.41,TN
Southern Hills Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$200.19,TN
Southern Hills Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$285.07,TN
Southern Hills Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$678.87,TN
Southern Hills Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$224.20,TN
Southern Hills Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$251.42,TN
Southern Hills Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$278.78,TN
Southern Hills Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$374.76,TN
Southern Hills Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$209.79,TN
Southern Hills Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level",$866.43,TN
Southern Hills Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$797.57,TN
Southern Hills Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$454.83,TN
Southern Hills Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,$376.35,TN
Southern Hills Medical Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,$754.32,TN
Southern Hills Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,"$1,100.26",TN
Southern Hills Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level","$1,052.20",TN
Southern Hills Medical Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$382.75,TN
Southern Hills Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,$518.89,TN
