Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Southern Tennessee Regional Medical Center Of Pulaski,Emergency Care,HCPCS 99281,Emergency Level 1,$73.42,TN
Southern Tennessee Regional Medical Center Of Pulaski,Emergency Care,HCPCS 99282,Emergency Level 2,$241.08,TN
Southern Tennessee Regional Medical Center Of Pulaski,Emergency Care,HCPCS 99283,Emergency Level 3,$354.18,TN
Southern Tennessee Regional Medical Center Of Pulaski,Emergency Care,HCPCS 99284,Emergency Level 4,$680.58,TN
Southern Tennessee Regional Medical Center Of Pulaski,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,121.07",TN
Southern Tennessee Regional Medical Center Of Pulaski,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$247.35,TN
Southern Tennessee Regional Medical Center Of Pulaski,Speech,HCPCS 92507,Speech Therapy,$256.46,TN
Southern Tennessee Regional Medical Center Of Pulaski,Speech,HCPCS 92610,Swallow Evaluation,$271.34,TN
Southern Tennessee Regional Medical Center Of Pulaski,Speech,HCPCS 92526,Swallow Treatment,$108.14,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85018,"Blood count, hemoglobin",$53.57,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$53.57,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$62.50,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$194.94,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85610,"Blood test, clotting time",$56.54,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85730,Coagulation assessment blood test,$86.81,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$153.77,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85027,"Complete blood count, automated",$120.05,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85008,Microscopic examination for white blood cells,$41.64,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$70.94,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$113.59,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85660,Red blood cell sickling measurement,$89.29,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$941.50,TN
Southern Tennessee Regional Medical Center Of Pulaski,Blood,HCPCS 85041,"Red blood count, automated test",$59.52,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$146.34,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$166.18,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82040,Albumin (protein) level,$56.54,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$56.54,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$198.91,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82140,Ammonia level,$91.77,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82150,Amylase (enzyme) level,$168.66,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$234.63,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$133.94,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84439,Assay of free thyroxine,$134.43,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$398.33,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82248,Bilirubin level (Direct),$68.95,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82247,Bilirubin level (Total),$68.95,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82565,Blood creatinine level,$32.74,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$62.50,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84295,Blood sodium level,$59.03,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$59.52,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$150.30,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82310,Calcium level,$78.87,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$61.51,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,$127.49,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82465,Cholesterol level,$105.17,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82525,Copper level,$179.07,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82533,Cortisol Measurement,$324.42,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84681,C-peptide (protein) level,$105.17,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$71.43,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$86.81,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$262.90,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$229.67,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$116.57,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82746,Folic acid; serum,$97.23,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$131.46,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$149.81,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$97.23,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",$268.86,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,$134.93,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,$153.77,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83718,HDL cholesterol level,$97.23,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83020,Hemoglobin Measurement,$258.44,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$140.87,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$275.31,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$321.94,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83525,Insulin Measurement; Total,$114.59,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82330,Ionized Calcium,$213.79,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83550,Iron Binding Capacity,$74.41,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83540,Iron level,$64.49,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$59.52,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83721,LDL cholesterol level,$160.72,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$139.39,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$89.29,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$65.48,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83021,Liver function blood test panel,$24.80,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83735,Magnesium Level,$68.95,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82542,Mass spectrometry,$268.86,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$137.41,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$90.78,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83945,Oxalate level,$144.85,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83970,Parathormone,$338.80,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$90.78,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84157,Prealbumin (protein) level,$83.84,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$266.38,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,$236.62,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84165,"Protein Measurement, Serum",$106.65,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82270,Stool analysis for blood,$18.67,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84403,Testosterone (hormone) level,$280.77,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84402,Testosterone Level; Free,$306.56,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$89.29,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,$218.26,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$134.43,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84155,"Total protein level, blood",$83.84,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$200.40,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84478,Triglycerides level,$84.82,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84166,Troponin (protein) analysis,$122.52,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84560,Uric acid level,$70.94,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 84550,"Uric acid level, blood",$105.17,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82340,Urine calcium level,$153.77,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82436,Urine chloride level,$49.61,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 82043,Urine microalbumin (protein) level,$57.55,TN
Southern Tennessee Regional Medical Center Of Pulaski,Chemistry,HCPCS 83935,Urine osmolality (concentration) measurement,$128.97,TN
