Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Tennova Healthcare - Cleveland,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$235.77,TN
Tennova Healthcare - Cleveland,Emergency Care,HCPCS 99281,Emergency Level 1,$129.85,TN
Tennova Healthcare - Cleveland,Emergency Care,HCPCS 99282,Emergency Level 2,$76.98,TN
Tennova Healthcare - Cleveland,Emergency Care,HCPCS 99285,Emergency Level 5,$127.03,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 85018,"Blood count, hemoglobin",$13.47,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$47.03,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$32.76,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$132.66,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 85610,"Blood test, clotting time",$24.12,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$69.75,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$25.93,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$108.74,TN
Tennova Healthcare - Cleveland,Blood,HCPCS 85660,Red blood cell sickling measurement,$36.38,TN
Tennova Healthcare - Cleveland,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$243.81,TN
Tennova Healthcare - Cleveland,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$58.09,TN
Tennova Healthcare - Cleveland,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$138.09,TN
Tennova Healthcare - Cleveland,Chemistry,HCPCS 82040,Albumin (protein) level,$34.17,TN
Tennova Healthcare - Cleveland,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$236.38,TN
Tennova Healthcare - Cleveland,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$58.69,TN
Tennova Healthcare - Cleveland,Chemistry,HCPCS 82140,Ammonia level,$69.75,TN
Tennova Healthcare - Cleveland,Chemistry,HCPCS 82150,Amylase (enzyme) level,$50.45,TN
