Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Trousdale Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$216.99,TN
Trousdale Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$391.45,TN
Trousdale Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$652.83,TN
Trousdale Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$898.19,TN
Trousdale Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,321.07",TN
Trousdale Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$227.25,TN
Trousdale Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",-,TN
Trousdale Medical Center,Psychology,HCPCS 90853,Group psychotherapy,-,TN
Trousdale Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",-,TN
Trousdale Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$205.86,TN
Trousdale Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$227.25,TN
Trousdale Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$278.65,TN
Trousdale Medical Center,Speech,HCPCS 92507,Speech Therapy,$212.43,TN
Trousdale Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$236.43,TN
Trousdale Medical Center,Speech,HCPCS 92526,Swallow Treatment,$242.75,TN
Trousdale Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",-,TN
Trousdale Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",-,TN
Trousdale Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$58.88,TN
Trousdale Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$82.61,TN
Trousdale Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",-,TN
Trousdale Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$57.92,TN
Trousdale Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$27.54,TN
Trousdale Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$131.99,TN
Trousdale Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",-,TN
Trousdale Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$82.61,TN
Trousdale Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,-,TN
Trousdale Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$25.64,TN
Trousdale Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$435.68,TN
Trousdale Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$211.74,TN
Trousdale Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$354.16,TN
Trousdale Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$144.33,TN
Trousdale Medical Center,Chemistry,HCPCS 82140,Ammonia level,$144.33,TN
Trousdale Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$140.54,TN
Trousdale Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$181.35,TN
Trousdale Medical Center,Chemistry,HCPCS 84439,Assay of free thyroxine,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$99.70,TN
Trousdale Medical Center,Chemistry,HCPCS 82248,Bilirubin level (Direct),$59.81,TN
Trousdale Medical Center,Chemistry,HCPCS 82247,Bilirubin level (Total),$81.66,TN
Trousdale Medical Center,Chemistry,HCPCS 82565,Blood creatinine level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$73.12,TN
Trousdale Medical Center,Chemistry,HCPCS 84295,Blood sodium level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$49.37,TN
Trousdale Medical Center,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$148.12,TN
Trousdale Medical Center,Chemistry,HCPCS 82310,Calcium level,$50.32,TN
Trousdale Medical Center,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$57.92,TN
Trousdale Medical Center,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82465,Cholesterol level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82525,Copper level,$40.83,TN
Trousdale Medical Center,Chemistry,HCPCS 82533,Cortisol Measurement,$114.88,TN
Trousdale Medical Center,Chemistry,HCPCS 84681,C-peptide (protein) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",-,TN
Trousdale Medical Center,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$99.70,TN
Trousdale Medical Center,Chemistry,HCPCS 82746,Folic acid; serum,$77.86,TN
Trousdale Medical Center,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$112.99,TN
Trousdale Medical Center,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$67.41,TN
Trousdale Medical Center,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$78.81,TN
Trousdale Medical Center,Chemistry,HCPCS 83001,"Gonadotropin, follicle stimulating (reproductive hormone) level",-,TN
Trousdale Medical Center,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83718,HDL cholesterol level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83020,Hemoglobin Measurement,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,$203.20,TN
Trousdale Medical Center,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$91.15,TN
Trousdale Medical Center,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83525,Insulin Measurement; Total,-,TN
Trousdale Medical Center,Chemistry,HCPCS 82330,Ionized Calcium,$121.93,TN
Trousdale Medical Center,Chemistry,HCPCS 83550,Iron Binding Capacity,$59.81,TN
Trousdale Medical Center,Chemistry,HCPCS 83540,Iron level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$49.37,TN
Trousdale Medical Center,Chemistry,HCPCS 83721,LDL cholesterol level,$101.58,TN
Trousdale Medical Center,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",-,TN
Trousdale Medical Center,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level",$198.45,TN
Trousdale Medical Center,Chemistry,HCPCS 83021,Liver function blood test panel,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83735,Magnesium Level,$83.55,TN
Trousdale Medical Center,Chemistry,HCPCS 82542,Mass spectrometry,$217.10,TN
Trousdale Medical Center,Chemistry,HCPCS 83883,"Nephelometry, test method using light",-,TN
Trousdale Medical Center,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$134.84,TN
Trousdale Medical Center,Chemistry,HCPCS 83918,Organic acid level,$199.40,TN
Trousdale Medical Center,Chemistry,HCPCS 83945,Oxalate level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83970,Parathormone,-,TN
Trousdale Medical Center,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$52.22,TN
Trousdale Medical Center,Chemistry,HCPCS 84157,Prealbumin (protein) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$60.77,TN
Trousdale Medical Center,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 84165,"Protein Measurement, Serum",-,TN
Trousdale Medical Center,Chemistry,HCPCS 82270,Stool analysis for blood,$28.49,TN
Trousdale Medical Center,Chemistry,HCPCS 84403,Testosterone (hormone) level,$115.85,TN
Trousdale Medical Center,Chemistry,HCPCS 84402,Testosterone Level; Free,$168.06,TN
Trousdale Medical Center,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$134.84,TN
Trousdale Medical Center,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,-,TN
Trousdale Medical Center,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Total,$67.41,TN
Trousdale Medical Center,Chemistry,HCPCS 84155,"Total protein level, blood",$33.25,TN
Trousdale Medical Center,Chemistry,HCPCS 84156,"Total Protein Level, Urine",-,TN
Trousdale Medical Center,Chemistry,HCPCS 84478,Triglycerides level,$72.17,TN
Trousdale Medical Center,Chemistry,HCPCS 84166,Troponin (protein) analysis,-,TN
Trousdale Medical Center,Chemistry,HCPCS 84560,Uric acid level,$69.31,TN
