Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Blood,HCPCS 85610,"Blood test, clotting time",$12.75,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$24.75,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Blood,HCPCS 85027,"Complete blood count, automated",$20.25,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$51.75,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$21.00,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$26.25,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$35.25,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$111.00,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$27.00,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$13.50,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$7.50,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$10.50,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$813.00,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,419.75",TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,011.00",TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,074.75",TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,419.75",TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$195.75,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,TN
West Tennessee Healthcare Rehabilitation Hospital Cane Creek,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$191.25,TN
