Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Ascension Seton Northwest,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",-,TX
Ascension Seton Northwest,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",-,TX
Ascension Seton Northwest,Emergency Care,HCPCS 99281,Emergency Level 1,-,TX
Ascension Seton Northwest,Emergency Care,HCPCS 99282,Emergency Level 2,-,TX
Ascension Seton Northwest,Emergency Care,HCPCS 99283,Emergency Level 3,-,TX
Ascension Seton Northwest,Emergency Care,HCPCS 99284,Emergency Level 4,-,TX
Ascension Seton Northwest,Emergency Care,HCPCS 99285,Emergency Level 5,-,TX
Ascension Seton Northwest,Hospital,HCPCS 99234,Hospital observation care discharge,-,TX
Ascension Seton Northwest,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,-,TX
Ascension Seton Northwest,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day",-,TX
Ascension Seton Northwest,Hospital,HCPCS 99218,Hospital Observation per Hour,-,TX
Ascension Seton Northwest,Hospital,HCPCS 99224,"Subsequent observation care, typically 25 minutes per day",-,TX
Ascension Seton Northwest,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),-,TX
Ascension Seton Northwest,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),-,TX
Ascension Seton Northwest,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",-,TX
Ascension Seton Northwest,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",-,TX
Ascension Seton Northwest,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",-,TX
Ascension Seton Northwest,Office Visit,HCPCS 99243,"Patient office consultation, typically 40 min",-,TX
Ascension Seton Northwest,Office Visit,HCPCS 99244,"Patient office consultation, typically 60 min",-,TX
Ascension Seton Northwest,Breast,HCPCS 77063,3D Mammogram Screening (Tomosynthesis),-,TX
Ascension Seton Northwest,Breast,HCPCS 77065,"Diagnostic mammography, unilateral",-,TX
Ascension Seton Northwest,Breast,HCPCS 77067,Mammogram Screening,-,TX
Ascension Seton Northwest,Breast,HCPCS 77066,Mammography of both breasts,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",-,TX
Ascension Seton Northwest,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",-,TX
Ascension Seton Northwest,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,-,TX
Ascension Seton Northwest,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",-,TX
Ascension Seton Northwest,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",-,TX
Ascension Seton Northwest,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",-,TX
Ascension Seton Northwest,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",-,TX
Ascension Seton Northwest,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",-,TX
Ascension Seton Northwest,MRI,HCPCS 72146,MRI chest spine without contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 72148,MRI lumbar spine without contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 72141,MRI neck spine without contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 72156,MRI neck spine without & with contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 70553,MRI scan of brain before and after contrast,-,TX
Ascension Seton Northwest,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,-,TX
Ascension Seton Northwest,MRI,HCPCS 73721,MRI scan of leg joint,-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76805,"Abdominal ultrasound of pregnant uterus, first trimester",-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76506,Ultrasound Blood Flow Outside the Brain,-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76942,Ultrasound guidance for biopsy,-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76705,"Ultrasound of abdomen, limited",-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76857,Ultrasound of pelvis,-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",-,TX
Ascension Seton Northwest,Ultrasound,HCPCS 76881,Ultrasound Veins of Both Arms or Legs,-,TX
Ascension Seton Northwest,Chest,HCPCS 71111,"X-ray of Both Sides of Ribs, Including Chest, Minimum of 4 Views",-,TX
Ascension Seton Northwest,Chest,HCPCS 70130,"X-ray of breast bone, minimum of 2 views",-,TX
Ascension Seton Northwest,Chest,HCPCS 71046,X-ray of chest; 2 Views,-,TX
Ascension Seton Northwest,Chest,HCPCS 71045,X-ray of chest; Single View,-,TX
Ascension Seton Northwest,Chest,HCPCS 71100,"X-ray Ribs One Side, 2 Views",-,TX
Ascension Seton Northwest,Head and Neck,HCPCS 70150,"X-ray of bones of face, minimum of 3 views",-,TX
Ascension Seton Northwest,Head and Neck,HCPCS 70160,"X-ray of bones of nose, minimum of 3 views",-,TX
Ascension Seton Northwest,Head and Neck,HCPCS 77076,X-ray of jaw joints on both sides of the face,-,TX
Ascension Seton Northwest,Head and Neck,HCPCS 70110,"X-ray of mandible, minimum of 4 views",-,TX
Ascension Seton Northwest,Head and Neck,HCPCS 70360,X-ray of neck soft tissue,-,TX
Ascension Seton Northwest,Head and Neck,HCPCS 70210,"X-ray of paranasal sinus, less than 3 views",-,TX
