Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Baylor Scott & White-Centennial,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$627.30,TX
Baylor Scott & White-Centennial,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$1,885.57",TX
Baylor Scott & White-Centennial,Emergency Care,HCPCS 99281,Emergency Level 1,$205.02,TX
Baylor Scott & White-Centennial,Emergency Care,HCPCS 99282,Emergency Level 2,$335.38,TX
Baylor Scott & White-Centennial,Emergency Care,HCPCS 99283,Emergency Level 3,$550.19,TX
Baylor Scott & White-Centennial,Emergency Care,HCPCS 99284,Emergency Level 4,$910.04,TX
Baylor Scott & White-Centennial,Emergency Care,HCPCS 99285,Emergency Level 5,"$1,599.62",TX
Baylor Scott & White-Centennial,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$280.16,TX
Baylor Scott & White-Centennial,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$376.38,TX
Baylor Scott & White-Centennial,Speech,HCPCS 92507,Speech Therapy,$241.74,TX
Baylor Scott & White-Centennial,Speech,HCPCS 92610,Swallow Evaluation,$278.46,TX
Baylor Scott & White-Centennial,Speech,HCPCS 92526,Swallow Treatment,$182.38,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85018,"Blood count, hemoglobin",$61.49,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$60.54,TX
Baylor Scott & White-Centennial,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$73.02,TX
Baylor Scott & White-Centennial,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$237.45,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85610,"Blood test, clotting time",$114.96,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85730,Coagulation assessment blood test,$137.74,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$88.69,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$117.25,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85027,"Complete blood count, automated",$152.75,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$50.88,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$211.14,TX
Baylor Scott & White-Centennial,Blood,HCPCS 85660,Red blood cell sickling measurement,$97.85,TX
Baylor Scott & White-Centennial,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$409.83,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$67.97,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$205.82,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82040,Albumin (protein) level,$112.89,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$184.11,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$152.35,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82140,Ammonia level,$198.06,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82150,Amylase (enzyme) level,$190.98,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$170.02,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,$264.58,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 84439,Assay of free thyroxine,$197.72,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$53.42,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82248,Bilirubin level (Direct),$111.70,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82247,Bilirubin level (Total),$148.29,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82565,Blood creatinine level,$136.42,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$97.79,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 82948,Blood glucose (sugar) measurement using reagent strip,$36.57,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 84295,Blood sodium level,$107.50,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$117.32,TX
Baylor Scott & White-Centennial,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$314.32,TX
