Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Coleman County Medical Center,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes",$322.50,TX
Coleman County Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$922.50,TX
Coleman County Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$82.50,TX
Coleman County Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$137.50,TX
Coleman County Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$275.00,TX
Coleman County Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$492.50,TX
Coleman County Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$685.00,TX
Coleman County Medical Center,Office Visit,HCPCS 99385,Initial new patient preventive medicine evaluation (18-39 years),$93.00,TX
Coleman County Medical Center,Office Visit,HCPCS 99386,Initial new patient preventive medicine evaluation (40-64 years),$109.00,TX
Coleman County Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$82.50,TX
Coleman County Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$175.00,TX
Coleman County Medical Center,Speech,HCPCS 92507,Speech Therapy,$75.00,TX
Coleman County Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$189.50,TX
Coleman County Medical Center,Speech,HCPCS 92526,Swallow Treatment,$80.00,TX
Coleman County Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$21.50,TX
Coleman County Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$20.00,TX
Coleman County Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$35.00,TX
Coleman County Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$45.00,TX
Coleman County Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$11.00,TX
Coleman County Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$58.50,TX
Coleman County Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$61.50,TX
Coleman County Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$34.00,TX
