Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Corpus Christi Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,222.00",TX
Corpus Christi Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,"$1,015.00",TX
Corpus Christi Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,681.00",TX
Corpus Christi Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,"$2,347.00",TX
Corpus Christi Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,021.00",TX
Corpus Christi Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,682.00",TX
Corpus Christi Medical Center,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$529.00,TX
Corpus Christi Medical Center,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$529.00,TX
Corpus Christi Medical Center,Psychology,HCPCS 90853,Group psychotherapy,"$1,499.00",TX
Corpus Christi Medical Center,Psychology,HCPCS 90791,Psychiatric diagnostic evaluation,$529.00,TX
Corpus Christi Medical Center,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$628.00,TX
Corpus Christi Medical Center,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$969.00,TX
Corpus Christi Medical Center,Psychology,HCPCS 90837,"Psychotherapy, 60 min","$1,675.00",TX
Corpus Christi Medical Center,Speech,HCPCS 92507,Speech Therapy,$413.00,TX
Corpus Christi Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$808.00,TX
Corpus Christi Medical Center,Speech,HCPCS 92526,Swallow Treatment,$555.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$330.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$208.00,TX
Corpus Christi Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$422.00,TX
Corpus Christi Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,"$1,079.00",TX
Corpus Christi Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$458.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$819.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$458.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$723.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$300.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$717.00,TX
Corpus Christi Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$470.00,TX
Corpus Christi Medical Center,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$594.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,"$1,395.00",TX
Corpus Christi Medical Center,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,$991.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 82040,Albumin (protein) level,$254.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$450.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum",$922.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 82140,Ammonia level,$767.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 82150,Amylase (enzyme) level,$833.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$868.00,TX
Corpus Christi Medical Center,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$1,581.00",TX
