Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Richardson,Blood,HCPCS 85610,"Blood test, clotting time",$15.75,TX
Encompass Health Rehabilitation Hospital of Richardson,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$15.00,TX
Encompass Health Rehabilitation Hospital of Richardson,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,TX
Encompass Health Rehabilitation Hospital of Richardson,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$31.50,TX
Encompass Health Rehabilitation Hospital of Richardson,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$18.00,TX
Encompass Health Rehabilitation Hospital of Richardson,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$20.25,TX
Encompass Health Rehabilitation Hospital of Richardson,Organ or Disease Oriented Panels,HCPCS 80061,"Blood test, lipids (cholesterol and triglycerides)",$33.75,TX
Encompass Health Rehabilitation Hospital of Richardson,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$18.75,TX
Encompass Health Rehabilitation Hospital of Richardson,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,TX
Encompass Health Rehabilitation Hospital of Richardson,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,TX
Encompass Health Rehabilitation Hospital of Richardson,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,TX
Encompass Health Rehabilitation Hospital of Richardson,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$8.25,TX
Encompass Health Rehabilitation Hospital of Richardson,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,TX
Encompass Health Rehabilitation Hospital of Richardson,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast","$1,518.00",TX
Encompass Health Rehabilitation Hospital of Richardson,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$2,115.75",TX
Encompass Health Rehabilitation Hospital of Richardson,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast","$1,673.25",TX
Encompass Health Rehabilitation Hospital of Richardson,MRI,HCPCS 72148,MRI lumbar spine without contrast material,"$1,785.75",TX
Encompass Health Rehabilitation Hospital of Richardson,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$2,115.75",TX
Encompass Health Rehabilitation Hospital of Richardson,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",TX
Encompass Health Rehabilitation Hospital of Richardson,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$191.25,TX
Encompass Health Rehabilitation Hospital of Richardson,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,TX
Encompass Health Rehabilitation Hospital of Richardson,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$180.00,TX
