Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Encompass Health Rehabilitation Hospital of Texarkana,Blood,HCPCS 85610,"Blood test, clotting time",$18.00,TX
Encompass Health Rehabilitation Hospital of Texarkana,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$24.75,TX
Encompass Health Rehabilitation Hospital of Texarkana,Blood,HCPCS 85027,"Complete blood count, automated",$16.50,TX
Encompass Health Rehabilitation Hospital of Texarkana,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)",$53.25,TX
Encompass Health Rehabilitation Hospital of Texarkana,Organ or Disease Oriented Panels,HCPCS 80048,Basic metabolic panel,$30.75,TX
Encompass Health Rehabilitation Hospital of Texarkana,Organ or Disease Oriented Panels,HCPCS 80053,"Blood test, comprehensive group of blood chemicals",$36.00,TX
Encompass Health Rehabilitation Hospital of Texarkana,Organ or Disease Oriented Panels,HCPCS 80069,Kidney Function Blood Test Panel,$21.75,TX
Encompass Health Rehabilitation Hospital of Texarkana,Organ or Disease Oriented Panels,HCPCS 80076,Liver function blood test panel,$21.00,TX
Encompass Health Rehabilitation Hospital of Texarkana,Urinalysis,HCPCS 81002,"Urinalysis, Automated Test",$8.25,TX
Encompass Health Rehabilitation Hospital of Texarkana,Urinalysis,HCPCS 81003,"Urinalysis, Automated Test",$6.00,TX
Encompass Health Rehabilitation Hospital of Texarkana,Urinalysis,HCPCS 81001,"Urinalysis with Examination, using Microscope",$13.50,TX
Encompass Health Rehabilitation Hospital of Texarkana,Cardiovascular,HCPCS 93000,"Electrocardiogram, routine, with interpretation and report",$124.50,TX
Encompass Health Rehabilitation Hospital of Texarkana,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$708.75,TX
Encompass Health Rehabilitation Hospital of Texarkana,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,"$1,336.50",TX
Encompass Health Rehabilitation Hospital of Texarkana,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",$913.50,TX
Encompass Health Rehabilitation Hospital of Texarkana,MRI,HCPCS 72148,MRI lumbar spine without contrast material,$980.25,TX
Encompass Health Rehabilitation Hospital of Texarkana,MRI,HCPCS 70553,MRI scan of brain before and after contrast,"$1,336.50",TX
Encompass Health Rehabilitation Hospital of Texarkana,MRI,HCPCS 73721,MRI scan of leg joint,"$1,069.50",TX
Encompass Health Rehabilitation Hospital of Texarkana,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$708.75,TX
Encompass Health Rehabilitation Hospital of Texarkana,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$202.50,TX
Encompass Health Rehabilitation Hospital of Texarkana,Spine,HCPCS 72110,"X-ray, lower back, minimum four views",$178.50,TX
