Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Green Imaging - Texas Duncanville,CT Scan,HCPCS 71275,CT Angiogram Chest with and without Contrast,$575.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 74150,CT scan Abdomen without Contrast,$500.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 70450,"CT scan, head or brain, without contrast",$500.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 70486,"CT scan, maxillofacial area; without contrast material",$500.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 74178,CT scan of abdomen & pelvis with and without contrast material,$575.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 74177,CT scan of abdomen & pelvis with contrast material,$575.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 74176,CT scan of abdomen & pelvis without contrast material,$550.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 74160,CT scan of abdomen with contrast material,$550.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 74170,CT scan of abdomen without & with contrast material,$550.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 71260,"CT Scan of thorax, with contrast material",$550.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 71250,"CT Scan of thorax, without contrast material",$500.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 72193,"CT scan, pelvis, with contrast",$550.00,TX
Green Imaging - Texas Duncanville,CT Scan,HCPCS 70491,"CT scan, soft tissue neck; with contrast material(s)",$550.00,TX
Green Imaging - Texas Duncanville,MRA,HCPCS 70544,"Magnetic resonance angiography, head; without contrast material(s)",$525.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 72146,MRI chest spine without contrast material,$525.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 72148,MRI lumbar spine without contrast material,$525.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 72158,MRI lumbar spine without & with contrast material,$750.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 72141,MRI neck spine without contrast material,$525.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 72156,MRI neck spine without & with contrast material,$750.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 74183,MRI of abdomen without & with contrast material,$750.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 73221,MRI of upper extremity joint; without contrast material,$525.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 70553,MRI scan of brain before and after contrast,$750.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 70551,MRI scan of brain (including brain stem); without contrast material,$525.00,TX
Green Imaging - Texas Duncanville,MRI,HCPCS 73721,MRI scan of leg joint,$525.00,TX
Green Imaging - Texas Duncanville,Ultrasound,HCPCS 76770,"Ultrasound exam of abdomenal back wall, complete",$250.00,TX
Green Imaging - Texas Duncanville,Ultrasound,HCPCS 76536,Ultrasound exam of head and neck,$250.00,TX
Green Imaging - Texas Duncanville,Ultrasound,HCPCS 76700,"Ultrasound of abdomen, complete",$250.00,TX
Green Imaging - Texas Duncanville,Ultrasound,HCPCS 76856,"Ultrasound, pelvic, complete",$425.00,TX
Green Imaging - Texas Duncanville,Ultrasound,HCPCS 76830,"Ultrasound, transvaginal",$425.00,TX
Green Imaging - Texas Duncanville,Ultrasound,HCPCS 76881,Ultrasound Veins of Both Arms or Legs,$250.00,TX
