Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
HCA Houston Healthcare Mainland,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$4,628.00",TX
HCA Houston Healthcare Mainland,Emergency Care,HCPCS 99281,Emergency Level 1,$489.00,TX
HCA Houston Healthcare Mainland,Emergency Care,HCPCS 99282,Emergency Level 2,"$1,297.00",TX
HCA Houston Healthcare Mainland,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,853.00",TX
HCA Houston Healthcare Mainland,Emergency Care,HCPCS 99284,Emergency Level 4,"$2,613.00",TX
HCA Houston Healthcare Mainland,Emergency Care,HCPCS 99285,Emergency Level 5,"$3,754.00",TX
HCA Houston Healthcare Mainland,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,431.00",TX
HCA Houston Healthcare Mainland,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,843.00",TX
HCA Houston Healthcare Mainland,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,292.00",TX
HCA Houston Healthcare Mainland,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$297.00,TX
HCA Houston Healthcare Mainland,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$284.00,TX
HCA Houston Healthcare Mainland,Psychology,HCPCS 90853,Group psychotherapy,$323.00,TX
HCA Houston Healthcare Mainland,Psychology,HCPCS 90832,"Psychotherapy, 30 minutes with patient",$140.00,TX
HCA Houston Healthcare Mainland,Psychology,HCPCS 90834,"Psychotherapy, 45 minutes with patient",$203.00,TX
HCA Houston Healthcare Mainland,Psychology,HCPCS 90837,"Psychotherapy, 60 min",$285.00,TX
HCA Houston Healthcare Mainland,Speech,HCPCS 92507,Speech Therapy,$422.00,TX
HCA Houston Healthcare Mainland,Speech,HCPCS 92610,Swallow Evaluation,$339.00,TX
HCA Houston Healthcare Mainland,Speech,HCPCS 92526,Swallow Treatment,$137.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85018,"Blood count, hemoglobin",$199.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$251.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$409.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,"$1,078.00",TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85610,"Blood test, clotting time",$579.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85730,Coagulation assessment blood test,$671.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85611,Coagulation Function Measurement; D-dimer; quantitative,$299.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85027,"Complete blood count, automated",$538.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$701.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,$544.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS 85660,Red blood cell sickling measurement,$131.00,TX
HCA Houston Healthcare Mainland,Blood,HCPCS P9016,"Red Blood Cells, Leukocytes Reduced, Each Unit",$720.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84588,ADH (antidiuretic hormone) level,$947.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82024,Adrenocorticotropic hormone (ACTH) level,"$2,263.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82040,Albumin (protein) level,$412.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82103,Alpha-1-antitrypsin; total,$434.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82105,"Alpha-Fetoprotein (AFP) Level, Serum","$1,098.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82140,Ammonia level,$859.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82150,Amylase (enzyme) level,$739.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82164,Angiotensin l - converting enzyme (ACE) level,$668.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82803,Arterial Blood Gases Measurement,"$1,260.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84439,Assay of free thyroxine,"$1,149.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82232,Beta-2 microglobulin (protein) level,$652.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82248,Bilirubin level (Direct),$581.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82247,Bilirubin level (Total),$581.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82565,Blood creatinine level,$481.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82947,Blood glucose (sugar) level,$433.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84295,Blood sodium level,$544.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84478,"Blood test, lipids (cholesterol and triglycerides)",$379.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84132,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)",$419.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84443,"Blood test, thyroid stimulating hormone (TSH)","$1,258.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82310,Calcium level,$465.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82374,Carbon dioxide (bicarbonate) level,$581.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82378,Carcinoembryonic antigen (CEA) protein level,"$1,083.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82465,Cholesterol level,$559.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82525,Copper level,$348.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82533,Cortisol Measurement,"$1,231.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84681,C-peptide (protein) level,$722.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82550,Creatine kinase Level (cardiac enzyme) - Total,$715.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82607,Cyanocobalamin (vitamin B-12) level,$888.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82626,Dehydroepiandrosterone (DHEA-S) hormone level,$822.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82652,"Dihydroxyvitamin D, 1, 25 level",$814.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82728,Ferritin (blood protein) level,$947.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82746,Folic acid; serum,"$1,020.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82784,Gammaglobulin Measurement,$474.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82977,Glutamyltransferase (liver enzyme) level,$715.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83036,Glycosylated hemoglobin test,$826.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83001,"Gonadotropin, luteinizing (reproductive hormone) level","$1,213.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83002,Gonadotropin (reproductive hormone) analysis,"$1,395.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83010,Haptoglobin (serum protein) level,"$1,595.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83718,HDL cholesterol level,$715.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83020,Hemoglobin Measurement,$739.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83090,Homocysteine (amino acid) level,"$1,402.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83498,"Hydroxyprogesterone, 17-D (synthetic hormone) level",$888.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83520,Immunoassay other than infectious agent antibody,$685.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83525,Insulin Measurement; Total,$267.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82330,Ionized Calcium,$722.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83550,Iron Binding Capacity,$747.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83540,Iron level,$553.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83615,Lactate dehydrogenase (enzyme) level,$753.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83690,Lipase (fat enzyme) level,$608.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84450,"Liver enzyme (SGOT), level",$701.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84480,"Liver enzyme (SGPT), level","$1,045.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83735,Magnesium Level,$687.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 82542,Mass spectrometry,$414.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83883,"Nephelometry, test method using light",$237.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83915,Nucleotidase 5' (enzyme) level,$229.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83945,Oxalate level,$722.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83970,Parathormone,$845.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84060,Phosphatase (enzyme) level,$734.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84157,Prealbumin (protein) level,$544.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 83519,Procalcitonin (hormone) level,$586.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84146,Prolactin (milk producing hormone) level,"$1,135.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84165,"Protein Measurement, Serum","$1,186.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84403,Testosterone (hormone) level,"$1,463.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84402,Testosterone Level; Free,$994.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84479,"Thyroid hormone, T3 measurement - Total",$610.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84445,Thyroid stimulating immune globulins (thyroid related protein) level,"$1,367.00",TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84436,Thyroxine (thyroid chemical) measurement - Free Thyroxine,$692.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84155,"Total protein level, blood",$605.00,TX
HCA Houston Healthcare Mainland,Chemistry,HCPCS 84156,"Total Protein Level, Urine",$544.00,TX
