Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Heart Hospital Of Austin,Emergency Care,HCPCS 99292,"Emergency Critical Care, Each Additional 30 Minutes","$2,466.00",TX
Heart Hospital Of Austin,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes","$7,678.00",TX
Heart Hospital Of Austin,Emergency Care,HCPCS 99281,Emergency Level 1,$522.00,TX
Heart Hospital Of Austin,Emergency Care,HCPCS 99282,Emergency Level 2,$863.00,TX
Heart Hospital Of Austin,Emergency Care,HCPCS 99283,Emergency Level 3,"$1,607.00",TX
Heart Hospital Of Austin,Emergency Care,HCPCS 99284,Emergency Level 4,"$3,474.00",TX
Heart Hospital Of Austin,Emergency Care,HCPCS 99285,Emergency Level 5,"$4,974.00",TX
Heart Hospital Of Austin,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min","$1,508.00",TX
Heart Hospital Of Austin,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min","$1,878.00",TX
Heart Hospital Of Austin,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min","$1,257.00",TX
Heart Hospital Of Austin,Psychology,HCPCS 90847,"Family psychotherapy, including patient, 50 min",$407.00,TX
Heart Hospital Of Austin,Psychology,HCPCS 90846,"Family psychotherapy, not including patient, 50 min",$407.00,TX
Heart Hospital Of Austin,Speech,HCPCS 92507,Speech Therapy,$334.00,TX
Heart Hospital Of Austin,Blood,HCPCS 85018,"Blood count, hemoglobin",$145.00,TX
Heart Hospital Of Austin,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$145.00,TX
Heart Hospital Of Austin,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$299.00,TX
Heart Hospital Of Austin,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$298.00,TX
Heart Hospital Of Austin,Blood,HCPCS 85610,"Blood test, clotting time",$344.00,TX
Heart Hospital Of Austin,Blood,HCPCS 85730,Coagulation assessment blood test,$396.00,TX
Heart Hospital Of Austin,Blood,HCPCS 85027,"Complete blood count, automated",$305.00,TX
Heart Hospital Of Austin,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$177.00,TX
Heart Hospital Of Austin,Blood,HCPCS 85303,Protein S (clotting inhibitor) level,"$1,040.00",TX
Heart Hospital Of Austin,Blood,HCPCS 85660,Red blood cell sickling measurement,$293.00,TX
