Hospital Name,Category,ServiceCode,ServiceName,ServicePrice,State
Knapp Medical Center,Emergency Care,HCPCS 99291,"Emergency Critical Care, First 30 Minutes",$603.98,TX
Knapp Medical Center,Emergency Care,HCPCS 99281,Emergency Level 1,$63.07,TX
Knapp Medical Center,Emergency Care,HCPCS 99282,Emergency Level 2,$115.93,TX
Knapp Medical Center,Emergency Care,HCPCS 99283,Emergency Level 3,$202.34,TX
Knapp Medical Center,Emergency Care,HCPCS 99284,Emergency Level 4,$318.71,TX
Knapp Medical Center,Emergency Care,HCPCS 99285,Emergency Level 5,$457.08,TX
Knapp Medical Center,Hospital,HCPCS 99219,Hospital observation care typically 30 minutes,"$1,996.42",TX
Knapp Medical Center,Hospital,HCPCS 99235,"Hospital observation or inpatient care moderate severity, 50 minutes per day","$1,996.42",TX
Knapp Medical Center,Office Visit,HCPCS 99204,"New patient office of other outpatient visit, typically 45 min",$105.03,TX
Knapp Medical Center,Office Visit,HCPCS 99205,"New patient office of other outpatient visit, typically 60 min",$105.03,TX
Knapp Medical Center,Office Visit,HCPCS 99203,"New patient office or other outpatient visit, typically 30 min",$105.03,TX
Knapp Medical Center,Speech,HCPCS 92523,Evaluation of Speech Sound Production and Language Comprehenson,$192.69,TX
Knapp Medical Center,Speech,HCPCS 92507,Speech Therapy,$78.92,TX
Knapp Medical Center,Speech,HCPCS 92610,Swallow Evaluation,$72.68,TX
Knapp Medical Center,Speech,HCPCS 92526,Swallow Treatment,$86.86,TX
Knapp Medical Center,Blood,HCPCS 85018,"Blood count, hemoglobin",$2.37,TX
Knapp Medical Center,Blood,HCPCS 85014,"Blood count, hemoglobin and hematocrit",$2.37,TX
Knapp Medical Center,Blood,HCPCS 82950,Blood glucose (sugar) level after receiving dose of glucose,$4.75,TX
Knapp Medical Center,Blood,HCPCS 82951,Blood glucose (sugar) tolerance test,$12.87,TX
Knapp Medical Center,Blood,HCPCS 85610,"Blood test, clotting time",$4.29,TX
Knapp Medical Center,Blood,HCPCS 85730,Coagulation assessment blood test,$6.01,TX
Knapp Medical Center,Blood,HCPCS 85025,"Complete blood cell count, with differential white blood cells, automated",$7.77,TX
Knapp Medical Center,Blood,HCPCS 85027,"Complete blood count, automated",$6.47,TX
Knapp Medical Center,Blood,HCPCS 85008,Microscopic examination for white blood cells,$3.43,TX
Knapp Medical Center,Blood,HCPCS 85007,Microscopic examination for white blood cells with manual cell count,$3.80,TX
Knapp Medical Center,Blood,HCPCS 85303,Protein C antigen (clotting inhibitor) measurement,$13.84,TX
Knapp Medical Center,Blood,HCPCS 85660,Red blood cell sickling measurement,$5.51,TX
